content,source,cleaned,t,sentiment_score,sentiment,tokens,joined,topik
"Kode di kirim lewat email,, 12 jam bru di kirim,, sama sekali gak guna",playstore,kode di kirim lewat email  jam bru di kirim sama sekali gak guna,"['kode', 'di', 'kirim', 'lewat', 'email', '12', 'jam', 'baru', 'di', 'kirim', 'sama', 'sekali', 'tidak', 'guna']",-41,negative,"['kode', 'kirim', 'email', 'jam', 'bru', 'kirim', 'gak']",kode kirim email jam bru kirim gak,Topik 4 - OTP/Verifikasi Email
Jelek banget ya aplikasinya gak bisa kirim otp. Coretax jg sama aja,playstore,jelek banget ya aplikasinya gak bisa kirim otp coretax jg sama aja,"['jelek', 'banget', 'ya', 'aplikasinya', 'tidak', 'bisa', 'kirim', 'otp', 'coretax', 'juga', 'sama', 'saja']",-55,negative,"['jelek', 'banget', 'aplikasinya', 'gak', 'kirim', 'otp', 'coretax', 'aja']",jelek banget aplikasinya gak kirim otp coretax aja,Topik 4 - OTP/Verifikasi Email
Lama banget kirim OTP nya,playstore,lama banget kirim otp nya,"['lama', 'banget', 'kirim', 'otp', 'ya']",-20,negative,"['banget', 'kirim', 'otp', 'nya']",banget kirim otp nya,Topik 4 - OTP/Verifikasi Email
"Email sudah benar tapi tidak ada otp yg dikirim terus, pake nomer hp malah gangguan terus, aplikasinya mempersulit sekali",playstore,email sudah benar tapi tidak ada otp yg dikirim terus pake nomer hp malah gangguan terus aplikasinya mempersulit sekali,"['email', 'sudah', 'benar', 'tapi', 'tidak', 'ada', 'otp', 'yang', 'dikirim', 'terus', 'pakai', 'nomer', 'hp', 'malah', 'gangguan', 'terus', 'aplikasinya', 'mempersulit', 'sekali']",-79,negative,"['email', 'otp', 'dikirim', 'pake', 'nomer', 'gangguan', 'aplikasinya', 'mempersulit']",email otp dikirim pake nomer gangguan aplikasinya mempersulit,Topik 4 - OTP/Verifikasi Email
Otp lama giliran udah ada ttp salah ko ada ya org bikin aplikasi ga guna ke gni,playstore,otp lama giliran udah ada ttp salah ko ada ya org bikin aplikasi ga guna ke gni,"['otp', 'lama', 'giliran', 'sudah', 'ada', 'tetap', 'salah', 'kok', 'ada', 'ya', 'orang', 'bikin', 'aplikasi', 'tidak', 'guna', 'ke', 'begini']",-89,negative,"['otp', 'giliran', 'udah', 'ttp', 'salah', 'org', 'bikin', 'aplikasi', 'gni']",otp giliran udah ttp salah org bikin aplikasi gni,Topik 4 - OTP/Verifikasi Email
aplikask kirim kode verivikasi aja lama hadeh,playstore,aplikask kirim kode verivikasi aja lama hadeh,"['aplikask', 'kirim', 'kode', 'verivikasi', 'saja', 'lama', 'hadeh']",-12,negative,"['aplikask', 'kirim', 'kode', 'verivikasi', 'aja', 'hadeh']",aplikask kirim kode verivikasi aja hadeh,Topik 4 - OTP/Verifikasi Email
"Knpa orang bnyak yg tidak bayar pajak ? Jawaban : karena pelayanan buruk.bnyk orang berkendala dari email ditunggu tidak muncul, layananya ditelfon gak mau angkat, bilang sibuk Mulu. Sebaiknya dipecat saja para pegawai nya,habis habisin Anggaran negara, gak fungsi.",playstore,knpa orang bnyak yg tidak bayar pajak  jawaban  karena pelayanan burukbnyk orang berkendala dari email ditunggu tidak muncul layananya ditelfon gak mau angkat bilang sibuk mulu sebaiknya dipecat saja para pegawai nyahabis habisin anggaran negara gak fungsi,"['kenapa', 'orang', 'banyak', 'yang', 'tidak', 'bayar', 'pajak', 'jawaban', 'karena', 'pelayanan', 'burukbnyk', 'orang', 'berkendala', 'dari', 'email', 'ditunggu', 'tidak', 'muncul', 'layananya', 'ditelfon', 'tidak', 'mau', 'angkat', 'bilang', 'sibuk', 'mulu', 'sebaiknya', 'dipecat', 'saja', 'para', 'pegawai', 'nyahabis', 'habisin', 'anggaran', 'negara', 'tidak', 'fungsi']",-97,negative,"['knpa', 'orang', 'bnyak', 'bayar', 'pajak', 'pelayanan', 'burukbnyk', 'orang', 'berkendala', 'email', 'ditunggu', 'muncul', 'layananya', 'ditelfon', 'gak', 'angkat', 'bilang', 'sibuk', 'mulu', 'dipecat', 'pegawai', 'nyahabis', 'habisin', 'anggaran', 'negara', 'gak', 'fungsi']",knpa orang bnyak bayar pajak pelayanan burukbnyk orang berkendala email ditunggu muncul layananya ditelfon gak angkat bilang sibuk mulu dipecat pegawai nyahabis habisin anggaran negara gak fungsi,Topik 4 - OTP/Verifikasi Email
VERIVIKASI KODE NYA LAMA & SETELAH MUNCUL KETERANGAN SALAH,playstore,verivikasi kode nya lama  setelah muncul keterangan salah,"['verivikasi', 'kode', 'ya', 'lama', 'setelah', 'muncul', 'keterangan', 'salah']",-23,negative,"['verivikasi', 'kode', 'nya', 'muncul', 'keterangan', 'salah']",verivikasi kode nya muncul keterangan salah,Topik 4 - OTP/Verifikasi Email
"nunggu otp 2 abad , niat gk bikin aplikasi",playstore,nunggu otp  abad  niat gk bikin aplikasi,"['menunggu', 'otp', '2', 'abad', 'niat', 'tidak', 'bikin', 'aplikasi']",-30,negative,"['nunggu', 'otp', 'abad', 'niat', 'bikin', 'aplikasi']",nunggu otp abad niat bikin aplikasi,Topik 4 - OTP/Verifikasi Email
"otp email lama ,, ampe kiamat gak di kirim2",playstore,otp email lama  ampe kiamat gak di kirim,"['otp', 'email', 'lama', 'sampai', 'kiamat', 'tidak', 'di', 'kirim2']",-20,negative,"['otp', 'email', 'ampe', 'kiamat', 'gak', 'kirim']",otp email ampe kiamat gak kirim,Topik 4 - OTP/Verifikasi Email
"OTP sangat lambat, mohon diperbaiki server kunonya",playstore,otp sangat lambat mohon diperbaiki server kunonya,"['otp', 'sangat', 'lambat', 'mohon', 'diperbaiki', 'server', 'kunonya']",-7,negative,"['otp', 'lambat', 'mohon', 'diperbaiki', 'server', 'kunonya']",otp lambat mohon diperbaiki server kunonya,Topik 4 - OTP/Verifikasi Email
Gimana sih mau live cht eror. Terus. Mau buat nvwp di chrom kode dari gmail ngk dikirm dikirm nya lama skli orang butuh kapan dikirim kapan. Ngk update bnget sih nyusahin,playstore,gimana sih mau live cht eror terus mau buat nvwp di chrom kode dari gmail ngk dikirm dikirm nya lama skli orang butuh kapan dikirim kapan ngk update bnget sih nyusahin,"['bagaimana', 'sih', 'mau', 'live', 'cht', 'eror', 'terus', 'mau', 'buat', 'nvwp', 'di', 'chrom', 'kode', 'dari', 'gmail', 'tidak', 'dikirm', 'dikirm', 'ya', 'lama', 'sekali', 'orang', 'butuh', 'kapan', 'dikirim', 'kapan', 'tidak', 'update', 'banget', 'sih', 'menyusahkan']",-102,negative,"['gimana', 'sih', 'live', 'cht', 'eror', 'nvwp', 'chrom', 'kode', 'gmail', 'ngk', 'dikirm', 'dikirm', 'nya', 'skli', 'orang', 'butuh', 'dikirim', 'ngk', 'update', 'bnget', 'sih', 'nyusahin']",gimana sih live cht eror nvwp chrom kode gmail ngk dikirm dikirm nya skli orang butuh dikirim ngk update bnget sih nyusahin,Topik 4 - OTP/Verifikasi Email
Minta kode aja lama banget harus nunggu berjam,playstore,minta kode aja lama banget harus nunggu berjam,"['meminta', 'kode', 'saja', 'lama', 'banget', 'harus', 'menunggu', 'berjam']",-26,negative,"['kode', 'aja', 'banget', 'nunggu', 'berjam']",kode aja banget nunggu berjam,Topik 4 - OTP/Verifikasi Email
"Kok gak bisa minta kode billing ny ,selalu eror",playstore,kok gak bisa minta kode billing ny selalu eror,"['kok', 'tidak', 'bisa', 'meminta', 'kode', 'billing', 'nya', 'selalu', 'eror']",-38,negative,"['gak', 'kode', 'billing', 'eror']",gak kode billing eror,Topik 4 - OTP/Verifikasi Email
email saya kok g sesuai email yg tertera di pajak.aneh,playstore,email saya kok g sesuai email yg tertera di pajakaneh,"['email', 'saya', 'kok', 'tidak', 'sesuai', 'email', 'yang', 'tertera', 'di', 'pajakaneh']",-14,negative,"['email', 'sesuai', 'email', 'tertera', 'pajakaneh']",email sesuai email tertera pajakaneh,Topik 4 - OTP/Verifikasi Email
"Kembalikan kotak centang lupa email,",playstore,kembalikan kotak centang lupa email,"['kembalikan', 'kotak', 'centang', 'lupa', 'email']",-8,negative,"['kembalikan', 'kotak', 'centang', 'lupa', 'email']",kembalikan kotak centang lupa email,Topik 4 - OTP/Verifikasi Email
OTP lama banget. Uang pajak banyak bikin aplikasi sulit,playstore,otp lama banget uang pajak banyak bikin aplikasi sulit,"['otp', 'lama', 'banget', 'uang', 'pajak', 'banyak', 'bikin', 'aplikasi', 'sulit']",-58,negative,"['otp', 'banget', 'uang', 'pajak', 'bikin', 'aplikasi', 'sulit']",otp banget uang pajak bikin aplikasi sulit,Topik 4 - OTP/Verifikasi Email
"Alhamdulillah sistemnya udah di update, tanya kode ifin langsung patass. Ok tingkatkan lagi untuk mempermudah masyarakat, untuk taat perpajakan",playstore,alhamdulillah sistemnya udah di update tanya kode ifin langsung patass ok tingkatkan lagi untuk mempermudah masyarakat untuk taat perpajakan,"['alhamdulillah', 'sistemnya', 'sudah', 'di', 'update', 'tanya', 'kode', 'ifin', 'langsung', 'patass', 'ok', 'tingkatkan', 'lagi', 'untuk', 'mempermudah', 'masyarakat', 'untuk', 'taat', 'perpajakan']",-27,negative,"['alhamdulillah', 'sistemnya', 'udah', 'update', 'kode', 'ifin', 'langsung', 'patass', 'tingkatkan', 'mempermudah', 'masyarakat', 'taat', 'perpajakan']",alhamdulillah sistemnya udah update kode ifin langsung patass tingkatkan mempermudah masyarakat taat perpajakan,Topik 4 - OTP/Verifikasi Email
"SUMPAH LU GA GUNA BANGET NJIRRR, ga bisa verivikasi otp ngabisin pulsa aja🙄",playstore,sumpah lu ga guna banget njirrr ga bisa verivikasi otp ngabisin pulsa aja,"['sumpah', 'kamu', 'tidak', 'guna', 'banget', 'anjir', 'tidak', 'bisa', 'verivikasi', 'otp', 'ngabisin', 'pulsa', 'saja']",-57,negative,"['sumpah', 'banget', 'njirrr', 'verivikasi', 'otp', 'ngabisin', 'pulsa', 'aja']",sumpah banget njirrr verivikasi otp ngabisin pulsa aja,Topik 4 - OTP/Verifikasi Email
Validasi otp gagal terusss,playstore,validasi otp gagal terusss,"['validasi', 'otp', 'gagal', 'terus']",-18,negative,"['validasi', 'otp', 'gagal', 'terusss']",validasi otp gagal terusss,Topik 4 - OTP/Verifikasi Email
Otp verif gabisa di klik,playstore,otp verif gabisa di klik,"['otp', 'verif', 'tidak bisa', 'di', 'klik']",-18,negative,"['otp', 'verif', 'gabisa', 'klik']",otp verif gabisa klik,Topik 4 - OTP/Verifikasi Email
"Cik atuh lewat WhatsApp otp tuh kan udah canggih, dana kalian kan besar masa iya sistem otp masih jadul pake SMS, mana beban di tangguhkan ke kita sebagai user, please lah kalian tuh perusahaan besar bukan perusahaan iclik, sistem CCD",playstore,cik atuh lewat whatsapp otp tuh kan udah canggih dana kalian kan besar masa iya sistem otp masih jadul pake sms mana beban di tangguhkan ke kita sebagai user please lah kalian tuh perusahaan besar bukan perusahaan iclik sistem ccd,"['cik', 'atuh', 'lewat', 'whatsapp', 'otp', 'tuh', 'kan', 'sudah', 'canggih', 'dana', 'kalian', 'kan', 'besar', 'masa', 'iya', 'sistem', 'otp', 'masih', 'jadul', 'pakai', 'sms', 'mana', 'beban', 'di', 'tangguhkan', 'ke', 'kita', 'sebagai', 'user', 'please', 'lah', 'kalian', 'tuh', 'perusahaan', 'besar', 'bukan', 'perusahaan', 'iclik', 'sistem', 'ccd']",-61,negative,"['cik', 'atuh', 'whatsapp', 'otp', 'tuh', 'udah', 'canggih', 'dana', 'iya', 'sistem', 'otp', 'jadul', 'pake', 'sms', 'beban', 'tangguhkan', 'user', 'please', 'tuh', 'perusahaan', 'perusahaan', 'iclik', 'sistem', 'ccd']",cik atuh whatsapp otp tuh udah canggih dana iya sistem otp jadul pake sms beban tangguhkan user please tuh perusahaan perusahaan iclik sistem ccd,Topik 4 - OTP/Verifikasi Email
Ngabisin pulsa doang buat minta otp,playstore,ngabisin pulsa doang buat minta otp,"['ngabisin', 'pulsa', 'doang', 'buat', 'meminta', 'otp']",-2,negative,"['ngabisin', 'pulsa', 'doang', 'otp']",ngabisin pulsa doang otp,Topik 4 - OTP/Verifikasi Email
"Aplikasi tolol, ga di website dan di aplikasi ga ada bedanya buat konfirmasi OTP ga ke kirim kirim, nomor udh di cross check berkali kali, udh nunggu berjam jam tetep ga bisa",playstore,aplikasi tolol ga di website dan di aplikasi ga ada bedanya buat konfirmasi otp ga ke kirim kirim nomor udh di cross check berkali kali udh nunggu berjam jam tetep ga bisa,"['aplikasi', 'tolol', 'tidak', 'di', 'website', 'dan', 'di', 'aplikasi', 'tidak', 'ada', 'bedanya', 'buat', 'konfirmasi', 'otp', 'tidak', 'ke', 'kirim', 'kirim', 'nomor', 'sudah', 'di', 'cross', 'check', 'berkali', 'kali', 'sudah', 'menunggu', 'berjam', 'jam', 'tetap', 'tidak', 'bisa']",-107,negative,"['aplikasi', 'tolol', 'website', 'aplikasi', 'bedanya', 'konfirmasi', 'otp', 'kirim', 'kirim', 'nomor', 'udh', 'cross', 'check', 'berkali', 'kali', 'udh', 'nunggu', 'berjam', 'jam', 'tetep']",aplikasi tolol website aplikasi bedanya konfirmasi otp kirim kirim nomor udh cross check berkali kali udh nunggu berjam jam tetep,Topik 4 - OTP/Verifikasi Email
"Webnya eror, gak bisa ngisi kode wilayah",playstore,webnya eror gak bisa ngisi kode wilayah,"['webnya', 'eror', 'tidak', 'bisa', 'ngisi', 'kode', 'wilayah']",-30,negative,"['webnya', 'eror', 'gak', 'ngisi', 'kode', 'wilayah']",webnya eror gak ngisi kode wilayah,Topik 4 - OTP/Verifikasi Email
Nunggu balesan email aja susah nya minta ampun,playstore,nunggu balesan email aja susah nya minta ampun,"['menunggu', 'balesan', 'email', 'saja', 'susah', 'ya', 'meminta', 'ampun']",-17,negative,"['nunggu', 'balesan', 'email', 'aja', 'susah', 'nya', 'ampun']",nunggu balesan email aja susah nya ampun,Topik 4 - OTP/Verifikasi Email
Asli busuk banget smpe pulsa hbis gk bisa verti otp,playstore,asli busuk banget smpe pulsa hbis gk bisa verti otp,"['asli', 'busuk', 'banget', 'sampai', 'pulsa', 'habis', 'tidak', 'bisa', 'verti', 'otp']",-55,negative,"['asli', 'busuk', 'banget', 'smpe', 'pulsa', 'hbis', 'verti', 'otp']",asli busuk banget smpe pulsa hbis verti otp,Topik 4 - OTP/Verifikasi Email
"Aduh saya bingung , saya datang kekantor pajak , malah disuruh aktivasi aja lewat apk , giliran aktivasi Effien , kode aktivasi nya gakeluar melalui email.",playstore,aduh saya bingung  saya datang kekantor pajak  malah disuruh aktivasi aja lewat apk  giliran aktivasi effien  kode aktivasi nya gakeluar melalui email,"['aduh', 'saya', 'bingung', 'saya', 'datang', 'kekantor', 'pajak', 'malah', 'disuruh', 'aktivasi', 'saja', 'lewat', 'apk', 'giliran', 'aktivasi', 'effien', 'kode', 'aktivasi', 'ya', 'gakeluar', 'melalui', 'email']",-50,negative,"['aduh', 'bingung', 'kekantor', 'pajak', 'disuruh', 'aktivasi', 'aja', 'apk', 'giliran', 'aktivasi', 'effien', 'kode', 'aktivasi', 'nya', 'gakeluar', 'email']",aduh bingung kekantor pajak disuruh aktivasi aja apk giliran aktivasi effien kode aktivasi nya gakeluar email,Topik 4 - OTP/Verifikasi Email
Gak guna cok sruh nunggu 10 mnit krim kode nmor dah bner. Tpi gk ad sms msuk. Lawak,playstore,gak guna cok sruh nunggu  mnit krim kode nmor dah bner tpi gk ad sms msuk lawak,"['tidak', 'guna', 'cok', 'sruh', 'menunggu', '10', 'mnit', 'krim', 'kode', 'nmor', 'sudah', 'benar', 'tapi', 'tidak', 'ada', 'sms', 'masuk', 'lawak']",-65,negative,"['gak', 'cok', 'sruh', 'nunggu', 'mnit', 'krim', 'kode', 'nmor', 'dah', 'bner', 'tpi', 'sms', 'msuk', 'lawak']",gak cok sruh nunggu mnit krim kode nmor dah bner tpi sms msuk lawak,Topik 4 - OTP/Verifikasi Email
gak bisa buat kode ebiling,playstore,gak bisa buat kode ebiling,"['tidak', 'bisa', 'buat', 'kode', 'ebiling']",-20,negative,"['gak', 'kode', 'ebiling']",gak kode ebiling,Topik 4 - OTP/Verifikasi Email
"KORUPSI LAGI SI PAJAK INI TOLOLLLL, APLIKASI GAK GUNA, WEB JUGA GAK GUNA, SETIAP MAU TULIS EMAIL PAKE ""@"" LANGSUNG KE RESET TULISANNYA TOLOLLLL WONG PAJAK WONG KORUPSI TOLOLLLL",playstore,korupsi lagi si pajak ini tolollll aplikasi gak guna web juga gak guna setiap mau tulis email pake  langsung ke reset tulisannya tolollll wong pajak wong korupsi tolollll,"['korupsi', 'lagi', 'sih', 'pajak', 'ini', 'tolollll', 'aplikasi', 'tidak', 'guna', 'web', 'juga', 'tidak', 'guna', 'setiap', 'mau', 'tulis', 'email', 'pakai', 'langsung', 'ke', 'reset', 'tulisannya', 'tolollll', 'wong', 'pajak', 'wong', 'korupsi', 'tolollll']",-63,negative,"['korupsi', 'pajak', 'tolollll', 'aplikasi', 'gak', 'web', 'gak', 'tulis', 'email', 'pake', 'langsung', 'reset', 'tulisannya', 'tolollll', 'pajak', 'korupsi', 'tolollll']",korupsi pajak tolollll aplikasi gak web gak tulis email pake langsung reset tulisannya tolollll pajak korupsi tolollll,Topik 4 - OTP/Verifikasi Email
Mengapa saat kita mengisi form untuk alamat email hilang terus dan huruf menjadi besar,playstore,mengapa saat kita mengisi form untuk alamat email hilang terus dan huruf menjadi besar,"['mengapa', 'saat', 'kita', 'mengisi', 'form', 'untuk', 'alamat', 'email', 'hilang', 'terus', 'dan', 'huruf', 'menjadi', 'besar']",-4,negative,"['mengisi', 'form', 'alamat', 'email', 'hilang', 'huruf']",mengisi form alamat email hilang huruf,Topik 4 - OTP/Verifikasi Email
Aplikasi payah otp aja ngga di kirim kirim,playstore,aplikasi payah otp aja ngga di kirim kirim,"['aplikasi', 'payah', 'otp', 'saja', 'tidak', 'di', 'kirim', 'kirim']",-35,negative,"['aplikasi', 'payah', 'otp', 'aja', 'ngga', 'kirim', 'kirim']",aplikasi payah otp aja ngga kirim kirim,Topik 4 - OTP/Verifikasi Email
"Aplkasi b2 minta otp gak muncul, bantuan nye sengaja di erorin",playstore,aplkasi b minta otp gak muncul bantuan nye sengaja di erorin,"['aplkasi', 'berdua', 'meminta', 'otp', 'tidak', 'muncul', 'bantuan', 'nye', 'sengaja', 'di', 'erorin']",-21,negative,"['aplkasi', 'otp', 'gak', 'muncul', 'bantuan', 'nye', 'sengaja', 'erorin']",aplkasi otp gak muncul bantuan nye sengaja erorin,Topik 4 - OTP/Verifikasi Email
Sudah membuat kode billing. Namun ketika akna membayar. Kode billing tidak ditemukan.,playstore,sudah membuat kode billing namun ketika akna membayar kode billing tidak ditemukan,"['sudah', 'membuat', 'kode', 'billing', 'namun', 'ketika', 'akna', 'membayar', 'kode', 'billing', 'tidak', 'ditemukan']",-26,negative,"['kode', 'billing', 'akna', 'membayar', 'kode', 'billing', 'ditemukan']",kode billing akna membayar kode billing ditemukan,Topik 4 - OTP/Verifikasi Email
"Aplikasi Kurang Membantu, Maunya Apa Nih...Di Chat,kring, Email Kaga Ada Balasan Sama Sekali",playstore,aplikasi kurang membantu maunya apa nihdi chatkring email kaga ada balasan sama sekali,"['aplikasi', 'kurang', 'membantu', 'maunya', 'apa', 'nihdi', 'chatkring', 'email', 'kagak', 'ada', 'balasan', 'sama', 'sekali']",-24,negative,"['aplikasi', 'membantu', 'maunya', 'nihdi', 'chatkring', 'email', 'kaga', 'balasan']",aplikasi membantu maunya nihdi chatkring email kaga balasan,Topik 4 - OTP/Verifikasi Email
"susah amat otpnya, pulsa melayang layang percuma",playstore,susah amat otpnya pulsa melayang layang percuma,"['susah', 'amat', 'otpnya', 'pulsa', 'melayang', 'layang', 'percuma']",-15,negative,"['susah', 'otpnya', 'pulsa', 'melayang', 'layang']",susah otpnya pulsa melayang layang,Topik 4 - OTP/Verifikasi Email
Di buat susah pada saat pengiriman otp hanya buat pulsa habis saja,playstore,di buat susah pada saat pengiriman otp hanya buat pulsa habis saja,"['di', 'buat', 'susah', 'pada', 'saat', 'pengiriman', 'otp', 'hanya', 'buat', 'pulsa', 'habis', 'saja']",-36,negative,"['susah', 'pengiriman', 'otp', 'pulsa', 'habis']",susah pengiriman otp pulsa habis,Topik 4 - OTP/Verifikasi Email
Sngt gg profesional. Otp trobel terus,playstore,sngt gg profesional otp trobel terus,"['sangat', 'tidak', 'profesional', 'otp', 'trobel', 'terus']",-23,negative,"['sngt', 'profesional', 'otp', 'trobel']",sngt profesional otp trobel,Topik 4 - OTP/Verifikasi Email
"Aplikasi pajak koc begini ya kualitas nya, sudah registrasi di bilang email tidak aktif padahal tiap hari di pakai,mau buat ulang makai email itu bilang nya email sudah di gunakan. Trus harus gymna?? Tolong donk kalo buat Apk di maksimalkan, ini aplikasi sekelas Pajak koc begini???????",playstore,aplikasi pajak koc begini ya kualitas nya sudah registrasi di bilang email tidak aktif padahal tiap hari di pakaimau buat ulang makai email itu bilang nya email sudah di gunakan trus harus gymna tolong donk kalo buat apk di maksimalkan ini aplikasi sekelas pajak koc begini,"['aplikasi', 'pajak', 'koc', 'begini', 'ya', 'kualitas', 'ya', 'sudah', 'registrasi', 'di', 'bilang', 'email', 'tidak', 'aktif', 'padahal', 'tiap', 'hari', 'di', 'pakaimau', 'buat', 'ulang', 'makai', 'email', 'itu', 'bilang', 'ya', 'email', 'sudah', 'di', 'gunakan', 'terus', 'harus', 'gymna', 'tolong', 'dong', 'kalau', 'buat', 'apk', 'di', 'maksimalkan', 'ini', 'aplikasi', 'sekelas', 'pajak', 'koc', 'begini']",-151,negative,"['aplikasi', 'pajak', 'koc', 'kualitas', 'nya', 'registrasi', 'bilang', 'email', 'aktif', 'pakaimau', 'ulang', 'makai', 'email', 'bilang', 'nya', 'email', 'trus', 'gymna', 'tolong', 'donk', 'kalo', 'apk', 'maksimalkan', 'aplikasi', 'sekelas', 'pajak', 'koc']",aplikasi pajak koc kualitas nya registrasi bilang email aktif pakaimau ulang makai email bilang nya email trus gymna tolong donk kalo apk maksimalkan aplikasi sekelas pajak koc,Topik 4 - OTP/Verifikasi Email
