content,source,cleaned,t,sentiment_score,sentiment,tokens,joined,topik
"pembuatan npwp sangat sangat sangat sulit, banyak masalah mulai dari error verifikasi code tidak muncul, server aneh, internet langsung lemot saat registrasi. Gimanasih ini rakyat mau bekerja aja sulit, padahal tinggal npwp doang🤣, yaudah, #kabur aja dulu ah🤣🤣, emang lebih bagus🤣",playstore,pembuatan npwp sangat sangat sangat sulit banyak masalah mulai dari error verifikasi code tidak muncul server aneh internet langsung lemot saat registrasi gimanasih ini rakyat mau bekerja aja sulit padahal tinggal npwp doang yaudah kabur aja dulu ah emang lebih bagus,"['pembuatan', 'npwp', 'sangat', 'sangat', 'sangat', 'sulit', 'banyak', 'masalah', 'mulai', 'dari', 'error', 'verifikasi', 'code', 'tidak', 'muncul', 'server', 'aneh', 'internet', 'langsung', 'lemot', 'saat', 'registrasi', 'gimanasih', 'ini', 'rakyat', 'mau', 'bekerja', 'saja', 'sulit', 'padahal', 'tinggal', 'npwp', 'doang', 'yaudah', 'kabur', 'saja', 'dulu', 'ah', 'memang', 'lebih', 'bagus']",-124,negative,"['pembuatan', 'npwp', 'sulit', 'error', 'verifikasi', 'code', 'muncul', 'server', 'aneh', 'internet', 'langsung', 'lemot', 'registrasi', 'gimanasih', 'rakyat', 'aja', 'sulit', 'tinggal', 'npwp', 'doang', 'yaudah', 'kabur', 'aja', 'emang', 'bagus']",pembuatan npwp sulit error verifikasi code muncul server aneh internet langsung lemot registrasi gimanasih rakyat aja sulit tinggal npwp doang yaudah kabur aja emang bagus,Topik 1 - Error/Aplikasi
"aplikasinya bener-bener jelek banget,udh klik menu,mau login aja susah sekali udh memasukan Nik/NPWP dan password tetap aja salah,ini aplikasinya error terus, sebenarnya aplikasin ini bisa membantu masyarakatnya engak sih kok error terus menerus!!!",playstore,aplikasinya benerbener jelek bangetudh klik menumau login aja susah sekali udh memasukan niknpwp dan password tetap aja salahini aplikasinya error terus sebenarnya aplikasin ini bisa membantu masyarakatnya engak sih kok error terus menerus,"['aplikasinya', 'benerbener', 'jelek', 'bangetudh', 'klik', 'menumau', 'login', 'saja', 'susah', 'sekali', 'sudah', 'memasukan', 'niknpwp', 'dan', 'password', 'tetap', 'saja', 'salahini', 'aplikasinya', 'error', 'terus', 'sebenarnya', 'aplikasin', 'ini', 'bisa', 'membantu', 'masyarakatnya', 'engak', 'sih', 'kok', 'error', 'terus', 'menerus']",-112,negative,"['aplikasinya', 'benerbener', 'jelek', 'bangetudh', 'klik', 'menumau', 'login', 'aja', 'susah', 'udh', 'memasukan', 'niknpwp', 'password', 'aja', 'salahini', 'aplikasinya', 'error', 'aplikasin', 'membantu', 'masyarakatnya', 'engak', 'sih', 'error', 'menerus']",aplikasinya benerbener jelek bangetudh klik menumau login aja susah udh memasukan niknpwp password aja salahini aplikasinya error aplikasin membantu masyarakatnya engak sih error menerus,Topik 1 - Error/Aplikasi
aplikasi sampah. ngabisin duit negara,playstore,aplikasi sampah ngabisin duit negara,"['aplikasi', 'sampah', 'ngabisin', 'duit', 'negara']",-18,negative,"['aplikasi', 'sampah', 'ngabisin', 'duit', 'negara']",aplikasi sampah ngabisin duit negara,Topik 1 - Error/Aplikasi
"aplikasi sampah, chat livenya keluar2 sendiri terus. udh di coba puluhan kali malah bikin emosi 👎",playstore,aplikasi sampah chat livenya keluar sendiri terus udh di coba puluhan kali malah bikin emosi,"['aplikasi', 'sampah', 'chat', 'livenya', 'keluar2', 'sendiri', 'terus', 'sudah', 'di', 'coba', 'puluhan', 'kali', 'malah', 'bikin', 'emosi']",-68,negative,"['aplikasi', 'sampah', 'chat', 'livenya', 'udh', 'coba', 'puluhan', 'kali', 'bikin', 'emosi']",aplikasi sampah chat livenya udh coba puluhan kali bikin emosi,Topik 1 - Error/Aplikasi
Web sampah! Percuma bayar pajak!,playstore,web sampah percuma bayar pajak,"['web', 'sampah', 'percuma', 'bayar', 'pajak']",-25,negative,"['web', 'sampah', 'bayar', 'pajak']",web sampah bayar pajak,Topik 1 - Error/Aplikasi
apk busuk lemot lemot,playstore,apk busuk lemot lemot,"['apk', 'busuk', 'lemot', 'lemot']",-28,negative,"['apk', 'busuk', 'lemot', 'lemot']",apk busuk lemot lemot,Topik 1 - Error/Aplikasi
Aplikasi Sampah,playstore,aplikasi sampah,"['aplikasi', 'sampah']",-18,negative,"['aplikasi', 'sampah']",aplikasi sampah,Topik 1 - Error/Aplikasi
aplikasi sampah,playstore,aplikasi sampah,"['aplikasi', 'sampah']",-18,negative,"['aplikasi', 'sampah']",aplikasi sampah,Topik 1 - Error/Aplikasi
error ga bisa login,playstore,error ga bisa login,"['error', 'tidak', 'bisa', 'login']",-27,negative,"['error', 'login']",error login,Topik 1 - Error/Aplikasi
"aplikasi sampahh lemotttnya luarr biasa aplikasi masih cacat, mana pelayanan di KANTOR PAJAKnya juga sama lagi kayak aplikasinya sama² lemot nunggu berjam² Unjung²nya tidak dilayani malah disuruh pulang besok kesini lagi(KANTOR PAJAK),. tolong segera direformasi sistem perpajakan di Indonesia KAMI HANYA INGIN BAYAR PAJAK BUKAN MENCURI UANG NEGARA, dimana ujung² nya uang PAJAK KAMI DIKORUPSI PARA PEJABATNYA",playstore,aplikasi sampahh lemotttnya luarr biasa aplikasi masih cacat mana pelayanan di kantor pajaknya juga sama lagi kayak aplikasinya sama lemot nunggu berjam unjungnya tidak dilayani malah disuruh pulang besok kesini lagikantor pajak tolong segera direformasi sistem perpajakan di indonesia kami hanya ingin bayar pajak bukan mencuri uang negara dimana ujung nya uang pajak kami dikorupsi para pejabatnya,"['aplikasi', 'sampahh', 'lemotttnya', 'luarr', 'biasa', 'aplikasi', 'masih', 'cacat', 'mana', 'pelayanan', 'di', 'kantor', 'pajaknya', 'juga', 'sama', 'lagi', 'kayak', 'aplikasinya', 'sama', 'lemot', 'menunggu', 'berjam', 'unjungnya', 'tidak', 'dilayani', 'malah', 'disuruh', 'pulang', 'besok', 'kesini', 'lagikantor', 'pajak', 'tolong', 'segera', 'direformasi', 'sistem', 'perpajakan', 'di', 'indonesia', 'kami', 'hanya', 'ingin', 'bayar', 'pajak', 'bukan', 'mencuri', 'uang', 'negara', 'dimana', 'ujung', 'ya', 'uang', 'pajak', 'kami', 'dikorupsi', 'para', 'pejabatnya']",-172,negative,"['aplikasi', 'sampahh', 'lemotttnya', 'luarr', 'aplikasi', 'cacat', 'pelayanan', 'kantor', 'pajaknya', 'kayak', 'aplikasinya', 'lemot', 'nunggu', 'berjam', 'unjungnya', 'dilayani', 'disuruh', 'pulang', 'besok', 'kesini', 'lagikantor', 'pajak', 'tolong', 'direformasi', 'sistem', 'perpajakan', 'indonesia', 'bayar', 'pajak', 'mencuri', 'uang', 'negara', 'dimana', 'ujung', 'nya', 'uang', 'pajak', 'dikorupsi', 'pejabatnya']",aplikasi sampahh lemotttnya luarr aplikasi cacat pelayanan kantor pajaknya kayak aplikasinya lemot nunggu berjam unjungnya dilayani disuruh pulang besok kesini lagikantor pajak tolong direformasi sistem perpajakan indonesia bayar pajak mencuri uang negara dimana ujung nya uang pajak dikorupsi pejabatnya,Topik 1 - Error/Aplikasi
"Halo pejabat yang dimanapun anda yang di gajih sama kami,tapi kerjanya ga becus. Saya ingin komplen ini katanya NPWP di ganti jadi nik/15angka jadi 16angka sesuai nik. Tapi ini pas mau login knp ga bisa kelebihan satu,terus saya tunggu dari awal di ganti yg 15jadi16 angka,sampe sekarang gada perubahan kalian kerja apa tidur terus kerjanya? Mohon maaf udhmah yg butuh pajak siapa yg susah siapa, ini udh susah di perusah. Tolong itu say tidak bisa login karena NPWP-nya lebih satu.",playstore,halo pejabat yang dimanapun anda yang di gajih sama kamitapi kerjanya ga becus saya ingin komplen ini katanya npwp di ganti jadi nikangka jadi angka sesuai nik tapi ini pas mau login knp ga bisa kelebihan satuterus saya tunggu dari awal di ganti yg jadi angkasampe sekarang gada perubahan kalian kerja apa tidur terus kerjanya mohon maaf udhmah yg butuh pajak siapa yg susah siapa ini udh susah di perusah tolong itu say tidak bisa login karena npwpnya lebih satu,"['halo', 'pejabat', 'yang', 'dimanapun', 'anda', 'yang', 'di', 'gajih', 'sama', 'kamitapi', 'kerjanya', 'tidak', 'becus', 'saya', 'ingin', 'komplen', 'ini', 'katanya', 'npwp', 'di', 'ganti', 'jadi', 'nik15angka', 'jadi', '16angka', 'sesuai', 'nik', 'tapi', 'ini', 'pas', 'mau', 'login', 'kenapa', 'tidak', 'bisa', 'kelebihan', 'satuterus', 'saya', 'tunggu', 'dari', 'awal', 'di', 'ganti', 'yang', '15jadi16', 'angkasampe', 'sekarang', 'tidak ada', 'perubahan', 'kalian', 'kerja', 'apa', 'tidur', 'terus', 'kerjanya', 'mohon', 'maaf', 'udhmah', 'yang', 'butuh', 'pajak', 'siapa', 'yang', 'susah', 'siapa', 'ini', 'sudah', 'susah', 'di', 'perusah', 'tolong', 'itu', 'sayang', 'tidak', 'bisa', 'login', 'karena', 'npwpnya', 'lebih', 'satu']",-272,negative,"['halo', 'pejabat', 'dimanapun', 'gajih', 'kamitapi', 'kerjanya', 'becus', 'komplen', 'npwp', 'ganti', 'nikangka', 'angka', 'sesuai', 'nik', 'pas', 'login', 'knp', 'kelebihan', 'satuterus', 'tunggu', 'ganti', 'angkasampe', 'gada', 'perubahan', 'kerja', 'tidur', 'kerjanya', 'mohon', 'maaf', 'udhmah', 'butuh', 'pajak', 'susah', 'udh', 'susah', 'perusah', 'tolong', 'say', 'login', 'npwpnya']",halo pejabat dimanapun gajih kamitapi kerjanya becus komplen npwp ganti nikangka angka sesuai nik pas login knp kelebihan satuterus tunggu ganti angkasampe gada perubahan kerja tidur kerjanya mohon maaf udhmah butuh pajak susah udh susah perusah tolong say login npwpnya,Topik 1 - Error/Aplikasi
sampah.,playstore,sampah,['sampah'],-9,negative,['sampah'],sampah,Topik 1 - Error/Aplikasi
aplikasi nda jelas sudah di ulang ulang untuk meminta kode efin ngebug mulu,playstore,aplikasi nda jelas sudah di ulang ulang untuk meminta kode efin ngebug mulu,"['aplikasi', 'indak', 'jelas', 'sudah', 'di', 'ulang', 'ulang', 'untuk', 'meminta', 'kode', 'efin', 'ngebug', 'mulu']",-50,negative,"['aplikasi', 'nda', 'ulang', 'ulang', 'kode', 'efin', 'ngebug', 'mulu']",aplikasi nda ulang ulang kode efin ngebug mulu,Topik 1 - Error/Aplikasi
sampah nggak bisa digunakan daftar,playstore,sampah nggak bisa digunakan daftar,"['sampah', 'tidak', 'bisa', 'digunakan', 'daftar']",-30,negative,"['sampah', 'nggak', 'daftar']",sampah nggak daftar,Topik 1 - Error/Aplikasi
mau bayar pajak aja dipersulit... aplikasi sampah,playstore,mau bayar pajak aja dipersulit aplikasi sampah,"['mau', 'bayar', 'pajak', 'saja', 'dipersulit', 'aplikasi', 'sampah']",-43,negative,"['bayar', 'pajak', 'aja', 'dipersulit', 'aplikasi', 'sampah']",bayar pajak aja dipersulit aplikasi sampah,Topik 1 - Error/Aplikasi
tidak bisa log in minta ini itu apalah tidak berguna buat rakyat,playstore,tidak bisa log in minta ini itu apalah tidak berguna buat rakyat,"['tidak', 'bisa', 'log', 'ini', 'meminta', 'ini', 'itu', 'apalah', 'tidak', 'berguna', 'buat', 'rakyat']",-42,negative,"['log', 'apalah', 'berguna', 'rakyat']",log apalah berguna rakyat,Topik 1 - Error/Aplikasi
"maunya apa sih layanan pemerintahan, susah amat mau akses bikin npwp online aja, udah berbulan-bulan kaya sebodo aja. tim IT dan badan pemerintahan yang terkait, tolong benerin web coretax bagian jenis pekerjaan udah isi tetap aja kesalahan disitu (BUG). layanan pemerintahan gak online gak offline gak ada yang simple setiap mau ngurus apa2. RIBET TERLALU BERTELE-TELE.",playstore,maunya apa sih layanan pemerintahan susah amat mau akses bikin npwp online aja udah berbulanbulan kaya sebodo aja tim it dan badan pemerintahan yang terkait tolong benerin web coretax bagian jenis pekerjaan udah isi tetap aja kesalahan disitu bug layanan pemerintahan gak online gak offline gak ada yang simple setiap mau ngurus apa ribet terlalu berteletele,"['maunya', 'apa', 'sih', 'layanan', 'pemerintahan', 'susah', 'amat', 'mau', 'akses', 'bikin', 'npwp', 'online', 'saja', 'sudah', 'berbulanbulan', 'kayak', 'sebodo', 'saja', 'tim', 'itu', 'dan', 'badan', 'pemerintahan', 'yang', 'terkait', 'tolong', 'benerin', 'web', 'coretax', 'bagian', 'jenis', 'pekerjaan', 'sudah', 'isi', 'tetap', 'saja', 'kesalahan', 'disitu', 'bug', 'layanan', 'pemerintahan', 'tidak', 'online', 'tidak', 'offline', 'tidak', 'ada', 'yang', 'simple', 'setiap', 'mau', 'mengurus', 'apa-apa', 'ribet', 'terlalu', 'berteletele']",-137,negative,"['maunya', 'sih', 'layanan', 'pemerintahan', 'susah', 'akses', 'bikin', 'npwp', 'online', 'aja', 'udah', 'berbulanbulan', 'kaya', 'sebodo', 'aja', 'tim', 'badan', 'pemerintahan', 'terkait', 'tolong', 'benerin', 'web', 'coretax', 'jenis', 'pekerjaan', 'udah', 'isi', 'aja', 'kesalahan', 'disitu', 'bug', 'layanan', 'pemerintahan', 'gak', 'online', 'gak', 'offline', 'gak', 'simple', 'ngurus', 'ribet', 'berteletele']",maunya sih layanan pemerintahan susah akses bikin npwp online aja udah berbulanbulan kaya sebodo aja tim badan pemerintahan terkait tolong benerin web coretax jenis pekerjaan udah isi aja kesalahan disitu bug layanan pemerintahan gak online gak offline gak simple ngurus ribet berteletele,Topik 1 - Error/Aplikasi
sampah,playstore,sampah,['sampah'],-9,negative,['sampah'],sampah,Topik 1 - Error/Aplikasi
aplikasi nya tidak bisa login error trus,playstore,aplikasi nya tidak bisa login error trus,"['aplikasi', 'ya', 'tidak', 'bisa', 'login', 'error', 'terus']",-54,negative,"['aplikasi', 'nya', 'login', 'error', 'trus']",aplikasi nya login error trus,Topik 1 - Error/Aplikasi
Ya Allah tolong donk.. kita juga ingin bayar pajak.. tapi error terus.baik dari aplikasi ini maupun website..,playstore,ya allah tolong donk kita juga ingin bayar pajak tapi error terusbaik dari aplikasi ini maupun website,"['ya', 'allah', 'tolong', 'dong', 'kita', 'juga', 'ingin', 'bayar', 'pajak', 'tapi', 'error', 'terusbaik', 'dari', 'aplikasi', 'ini', 'maupun', 'website']",-48,negative,"['allah', 'tolong', 'donk', 'bayar', 'pajak', 'error', 'terusbaik', 'aplikasi', 'website']",allah tolong donk bayar pajak error terusbaik aplikasi website,Topik 1 - Error/Aplikasi
"aplikasi sampah,, sama kayak para pejabat,,",playstore,aplikasi sampah sama kayak para pejabat,"['aplikasi', 'sampah', 'sama', 'kayak', 'para', 'pejabat']",-31,negative,"['aplikasi', 'sampah', 'kayak', 'pejabat']",aplikasi sampah kayak pejabat,Topik 1 - Error/Aplikasi
"gak bisa masuk ini teh, error terus min.",playstore,gak bisa masuk ini teh error terus min,"['tidak', 'bisa', 'masuk', 'ini', 'teh', 'error', 'terus', 'min']",-47,negative,"['gak', 'masuk', 'teh', 'error', 'min']",gak masuk teh error min,Topik 1 - Error/Aplikasi
aplikasi sampah gak bisa di gunain sama sekali👎👎👎👎👎,playstore,aplikasi sampah gak bisa di gunain sama sekali,"['aplikasi', 'sampah', 'tidak', 'bisa', 'di', 'gunain', 'sama', 'sekali']",-55,negative,"['aplikasi', 'sampah', 'gak', 'gunain']",aplikasi sampah gak gunain,Topik 1 - Error/Aplikasi
tidak bisa berkata-kata,playstore,tidak bisa berkatakata,"['tidak', 'bisa', 'berkatakata']",-18,negative,['berkatakata'],berkatakata,Topik 1 - Error/Aplikasi
"aplikasi masih cacat, susah dapat kode verifikasi. form formulir tidak update, padahal NPWP sudah 16 digit tapi dalam aplikasi hanya bisa mengisi 15 digit nomor NPWP. ini berarti sistem nya tidak berjalan sesuai dengan ketentuan dan kebutuhan wajib pajak dan malah merugikan/menyusahkan para wajib pajak. bahkan karena hal tersebut, para wajib pajak tidak bisa melakukan registrasi EFIN",playstore,aplikasi masih cacat susah dapat kode verifikasi form formulir tidak update padahal npwp sudah  digit tapi dalam aplikasi hanya bisa mengisi  digit nomor npwp ini berarti sistem nya tidak berjalan sesuai dengan ketentuan dan kebutuhan wajib pajak dan malah merugikanmenyusahkan para wajib pajak bahkan karena hal tersebut para wajib pajak tidak bisa melakukan registrasi efin,"['aplikasi', 'masih', 'cacat', 'susah', 'dapat', 'kode', 'verifikasi', 'form', 'formulir', 'tidak', 'update', 'padahal', 'npwp', 'sudah', '16', 'digit', 'tapi', 'dalam', 'aplikasi', 'hanya', 'bisa', 'mengisi', '15', 'digit', 'nomor', 'npwp', 'ini', 'berarti', 'sistem', 'ya', 'tidak', 'berjalan', 'sesuai', 'dengan', 'ketentuan', 'dan', 'kebutuhan', 'wajib', 'pajak', 'dan', 'malah', 'merugikanmenyusahkan', 'para', 'wajib', 'pajak', 'bahkan', 'karena', 'hal', 'tersebut', 'para', 'wajib', 'pajak', 'tidak', 'bisa', 'melakukan', 'registrasi', 'efin']",-198,negative,"['aplikasi', 'cacat', 'susah', 'kode', 'verifikasi', 'form', 'formulir', 'update', 'npwp', 'digit', 'aplikasi', 'mengisi', 'digit', 'nomor', 'npwp', 'sistem', 'nya', 'berjalan', 'sesuai', 'ketentuan', 'kebutuhan', 'wajib', 'pajak', 'merugikanmenyusahkan', 'wajib', 'pajak', 'wajib', 'pajak', 'registrasi', 'efin']",aplikasi cacat susah kode verifikasi form formulir update npwp digit aplikasi mengisi digit nomor npwp sistem nya berjalan sesuai ketentuan kebutuhan wajib pajak merugikanmenyusahkan wajib pajak wajib pajak registrasi efin,Topik 1 - Error/Aplikasi
"server gangguan terus,lemot,kebanyakan di korup",playstore,server gangguan teruslemotkebanyakan di korup,"['server', 'gangguan', 'teruslemotkebanyakan', 'di', 'korup']",-14,negative,"['server', 'gangguan', 'teruslemotkebanyakan', 'korup']",server gangguan teruslemotkebanyakan korup,Topik 1 - Error/Aplikasi
