userName,score,content,at
deki Sudarmanto,5,ok,2025-05-08 09:49:58
ernawati erna,4,sekarang kok bikin NPWP susah bnr. orang belum pernah bikin keterangan NIK di duplikasi. giliran nik udah oke yg masalah KK tidak valid. karepe piye mboh..,2025-05-08 08:59:51
Cholix PD,5,mantab,2025-05-08 03:17:09
Sandi Sutisma,1,"aplikasi banyak bug lemot kebanyakan update, kemana aja uang pajak buat aplikasi bagus aja gak bisa kebanyakan di korupsi kayaknya",2025-05-08 02:56:12
Frans Gabriel,1,"Loh mau masukkan npwp karena sesuai malah NIK gak muat jadinya gak bisa akses EFIN. Seharusnya app pajak lebih bagus dari semua instansi ini karena berhubungan dengan uang ini malah gak update. App pemerintah kalah dengan app swasta, aneh",2025-05-07 23:17:14
Supranoko,1,"Ribetnya buat NPWP, nggak usah bayar pajak, toh penghasilanku di bawah batas PTKP",2025-05-07 15:01:37
Faisal Nugraha,1,"apaan sih, kolom pekerjaan minta di isi Mulu, gua udah gunta ganti masih aja minta di isi rusak rusak",2025-05-07 12:29:58
Tino Surya,1,"Daftar Gabisa Disini, Ga Guna Banget, Daftar Di Web HP Malah Makin Ancur Dan Bikin Pusing",2025-05-07 12:13:05
Caca widuri,2,"pelayanan online kurang memuaskan, aplikasi sering error dan tidak bisa digunakan.banyak kolom diisi sesuai data tp tidak bisa terdeteksi. mohon diperbaiki lg untuk pelayanan online.",2025-05-07 04:12:44
Cece Firdaus,1,"pembuatan npwp sangat sangat sangat sulit, banyak masalah mulai dari error verifikasi code tidak muncul, server aneh, internet langsung lemot saat registrasi. Gimanasih ini rakyat mau bekerja aja sulit, padahal tinggal npwp doang🤣, yaudah, #kabur aja dulu ah🤣🤣, emang lebih bagus🤣",2025-05-06 22:52:33
cuya new galaxy,3,asik gak dia,2025-05-06 21:29:03
Uci Girlll,1,"aplikasinya bener-bener jelek banget,udh klik menu,mau login aja susah sekali udh memasukan Nik/NPWP dan password tetap aja salah,ini aplikasinya error terus, sebenarnya aplikasin ini bisa membantu masyarakatnya engak sih kok error terus menerus!!!",2025-05-06 14:17:57
andy gustianto,1,aplikasi sampah. ngabisin duit negara,2025-05-06 12:44:43
Henderina Pasanea.,1,lambat berproses,2025-05-06 09:07:22
Hilmi aldi,1,gtw pen rating bintang 1,2025-05-06 00:33:55
meta jess,1,"kalo ndak ribet bukan Indonesia namanya, saya mau cek npwp Online malah muter² gak tau kemana, disuruh masukkan nomor NPWP sandi dll, lah org saya mau cek nomor NPWP saya krna saya gak tau, malah disuruh isi.. kenapa sih ribet bgt",2025-05-05 08:08:38
Khe Nzu,1,knapa sih hari minggu gk kliatan..,2025-05-05 08:03:08
Kholilurrahman Rohman,1,"coba dong web sama apknya di benerin malu sama Anggaran,masa KLH sama swasta",2025-05-05 05:17:38
Dzikri Amrillah,1,plis pak programer di buat yg bener ada penyimpanan sementara atau gimana kek ini di reload suruh isi dari awal lagi ini gimana ?,2025-05-05 04:19:55
ady pramudiya,5,mantap,2025-05-03 06:42:48
HARISHIMA 22,1,saya mau bayar pajak aja daftar nya ribet minta ampun...payah coretex nih...,2025-05-03 05:44:49
risky fraasetyo,1,verifikasi lambat,2025-05-03 04:06:04
Andra Sakra,1,app Konoha emang payah,2025-05-02 10:13:41
ANDI NURCAHYO,5,mantab,2025-05-02 09:50:51
Quail Sara,1,"aplikasi sampah, chat livenya keluar2 sendiri terus. udh di coba puluhan kali malah bikin emosi 👎",2025-05-02 07:59:22
Merlyn Merlina,1,minta efin sush banget eror Mulu,2025-05-02 01:32:43
wahyu xx21,1,dirjen pajak wajib diperiksa ni,2025-05-01 23:51:22
Arasy Dian Az Zukhruf,1,Web sampah! Percuma bayar pajak!,2025-05-01 07:54:02
Kukuh Purwanto,1,Kita yang bekerja..kita juga yang suruh lapor pajak..ribet amat,2025-05-01 02:11:33
new Property165,5,good pelayanan,2025-04-30 08:41:13
Rendi Trimaulana,1,"anggaran besar buat bikin tapi hasilnya kek, mau buat NPWP aja susah bgt gelapp",2025-04-30 08:23:44
samanan manan,1,saya daftar daftar tapi halaman web gak bisa dibuka aneh,2025-04-30 01:49:56
BangJO Event Organizer,1,user dan sandi.. selalu aja dinyatakan salah.. padahal ketika buka lewat Coretax aman. tpi nggak bisa masuk di aplikasi Android.. parah.,2025-04-30 01:15:53
Vansughoi,1,"kocak ini apk dungu, ngapain udah ada apk ini giliran mau lapor spt tahunan malah disuruh pake web trs gunanya apa ini aplikasinya? Emang susah negri konoha ini",2025-04-29 09:01:13
Aris Hermawan,1,apk busuk lemot lemot,2025-04-29 04:53:34
Arfan Budi Setyawan (ZOYALIST),1,"apk yang lama sudah bagus, dan apk yang sekarang gak bisa di akses, buang"" anggaran negara saja",2025-04-28 16:48:03
Angga Saputra,1,Aplikasi Sampah,2025-04-28 13:56:17
Langgeng,1,aplikasi sampah,2025-04-28 05:57:49
SUKRI ICHAL,1,"koq smakin jelek saja rating aplikasi Perpajakan ini, ada apa yaaa... knapa kntr pajak tdk review aplikasi DJP ini.",2025-04-28 02:25:05
Fyen Hasan BDR Putri Butuuni,1,pelayanan di kantor jelek sekali.,2025-04-28 02:09:08
Rinda Akbar,1,coretaxnya cacat,2025-04-28 02:01:41
Akbar Novriansyah,1,error ga bisa login,2025-04-27 12:39:27
Alfin Disdik,5,cukup bagus,2025-04-26 06:33:46
andre pratama,1,aplikasi indo emang gini,2025-04-26 04:22:01
Bima Sanjaya,1,jelek bgt sumpah,2025-04-25 14:30:30
Godonfar,2,"kenapa pemerintah menyewa orang tolol buat disain web pajak, coba dibikin mudah, jangan banyak ceramah walopun lambat tapi pasti lebih baik, ini udah lama menbingungkan juga",2025-04-25 13:44:20
Atak gaman,1,g bisa dapet vervikasi lewat no maupun gmail,2025-04-25 13:21:24
Stevan Sonu,1,Banyak masalah saat pendaftaran,2025-04-25 09:51:09
ABD. SALAM,5,sangat membantu,2025-04-24 16:47:39
Muchtar Efendi,5,Agar dpt mengetahui lokasi perpajakan.,2025-04-24 13:29:30
Awal Din,5,matap,2025-04-24 08:31:01
Ivan Adi saputra,1,"aplikasi sampahh lemotttnya luarr biasa aplikasi masih cacat, mana pelayanan di KANTOR PAJAKnya juga sama lagi kayak aplikasinya sama² lemot nunggu berjam² Unjung²nya tidak dilayani malah disuruh pulang besok kesini lagi(KANTOR PAJAK),. tolong segera direformasi sistem perpajakan di Indonesia KAMI HANYA INGIN BAYAR PAJAK BUKAN MENCURI UANG NEGARA, dimana ujung² nya uang PAJAK KAMI DIKORUPSI PARA PEJABATNYA",2025-04-24 05:35:14
Rizal Zybran,2,"sering logout , minta verifikasi ke email gak muncul muncul . tolong dong diperbaiki permasalahannya",2025-04-24 04:42:22
Wisnu Hasan,1,"mau ngurus lupa EFIN dari aplikasi bisa tapi harus ngantri 600 pengatri dulu, di tunggu sampe sore eh malah tiba "" system eror, lalu coba lagi di hari berikutnya malah kesalahan server, masa pelayanan dikantor ama aplikasinya sama "" buruk 👎👎hadeh..",2025-04-24 01:54:11
Dimas Prayoga setiansyah,1,aplikasi terjelek👎,2025-04-23 14:27:43
Karna,1,"Halo pejabat yang dimanapun anda yang di gajih sama kami,tapi kerjanya ga becus. Saya ingin komplen ini katanya NPWP di ganti jadi nik/15angka jadi 16angka sesuai nik. Tapi ini pas mau login knp ga bisa kelebihan satu,terus saya tunggu dari awal di ganti yg 15jadi16 angka,sampe sekarang gada perubahan kalian kerja apa tidur terus kerjanya? Mohon maaf udhmah yg butuh pajak siapa yg susah siapa, ini udh susah di perusah. Tolong itu say tidak bisa login karena NPWP-nya lebih satu.",2025-04-23 07:18:54
RuzzdySyah AlFarizi,1,Aplikasinya semakin BURUUUUKKKKK...,2025-04-23 06:00:51
SOTW CHANNEL,1,kaga bisa next trus harus gimma,2025-04-22 19:25:34
MSQ STAR,1,sampah.,2025-04-22 10:40:03
Anto Susanto,3,Berapa bulan lama menunggu EFIN keluar?,2025-04-22 07:56:13
Faizi Faizi,1,aplikasinya sangat lambat🐌,2025-04-22 06:39:56
Muhammad Hanafi,1,"sudah bayar pajak, mesti lapor pake cara ribet",2025-04-22 01:57:32
Nuriko Pramega,1,"Aplikasi pemerintah gak pernah ada yang bener, aplikasi cacat !!!",2025-04-22 01:36:11
Aditya Riski,1,aplikasi nda jelas sudah di ulang ulang untuk meminta kode efin ngebug mulu,2025-04-21 08:09:44
Muhammad Fadzlan,1,korupsi korupsi,2025-04-21 05:44:19
AGUS TONO,1,mau jd orang bijak taat pajak pun di persulit. KANOHA.,2025-04-21 02:37:02
"Oky Hari Pramana, S. Kom",5,sebagai warga negara yang baik kita harus lapor pajak tahunan ...😊,2025-04-20 09:53:23
FARIS RAMA FIRMANDA,1,ga ada pilihan lupa kata sandi saat login. jd ga bisa login. mohon d perbaiki.,2025-04-20 05:46:49
PL VLOG OFICE,1,Pajak tolol,2025-04-19 18:15:18
Ferizqo Akbaria Nurzammi,1,masih aja ada EFIN kirain udah musnah,2025-04-19 16:17:53
Suhemi,1,"tolong dong perbaiki, setiap kali mau buka harus login lagi baru buka beberapa hari harus login lagi",2025-04-19 12:04:47
ZyaN.,1,"aplikasi buatan negara, gaada yang bener sistemnya WKWKWKWK",2025-04-19 00:59:02
A S AKBAR,5,ok,2025-04-18 00:03:11
ram jani,5,terbaik,2025-04-17 13:52:18
K Alima,2,"saya sudah buat NPWP pribadi lewat web coretax awal 25 lalu, nah saat mau cek pajak lewat web DJP ternyata harus punya EFIN dulu. Download aplikasi ini supaya mudah buat secara online, tapi ternyata setelah dibuka pembuatan EFIN di bagian kolom NPWP hanya tersedia 15karakter aja, dahlah ada yg sulit kenapa harus gampang. Mohon untuk para pemangku kepentingan, aplikasi atau web itu cukup 1saja dan terpusat.",2025-04-17 07:06:12
Nur Sid,1,Sengaja di buat pusing dan sulit supaya kita habis tenaga tak ada waktu untuk berfikir lain intinya bayar,2025-04-17 01:18:17
Dirut Bpjskes,1,gak enak buat lapor baik pakai versi web,2025-04-17 00:49:20
endang suryani,5,saya baru membuka aplikasi ini semoga mempermudah saya utk pengurusan pajak dll trima kasih,2025-04-16 23:35:05
Gi Anto,5,ok,2025-04-16 19:04:48
Fadhilah Silva Ramadhani,1,sampah nggak bisa digunakan daftar,2025-04-16 11:30:55
Ketut Susena,5,memuaskan,2025-04-16 10:05:05
Sigit Putra,1,"tolong diperbaiki dong, mau login udah masukin kode verifikasi dari email keterangannya salah mulu udah request 8x kode verif ga ada yg bisa dipake login.",2025-04-16 03:47:01
Abi Janbari,1,cara masuknya gimana?,2025-04-16 03:22:18
Cak_ iim,5,very good,2025-04-16 01:17:38
Hiruzen Uchiha,1,verifikasi gak masuk² gimana ini kayak bukan aplikasi milik pemerintah aja,2025-04-15 16:32:42
Widyaa Astuti,1,serba lambat,2025-04-15 16:16:23
Yusuf Permana,4,sangat membantu,2025-04-15 12:42:24
andi saldi,2,"kenapa ini mau loging tpi gagal terus , berkali² masukkan kode verifikasi abis sesi berakhir terus",2025-04-15 09:09:53
Sudy cheung channel,5,mantap,2025-04-15 00:51:45
Andeska Patawira1227,1,aplikasi aneh. GX ada menu aktifasi,2025-04-14 21:38:07
Justin ling,1,cuman di indon mau bayar pajak dipersulit,2025-04-14 14:59:32
M Nur Al Iman,1,"aplikasi rusak,banyak kali ke kendalanya.",2025-04-14 11:43:04
Enni Asrita,5,mantap,2025-04-14 10:39:32
hazizi Channel hazizi,5,mantap,2025-04-14 05:42:35
NOVIN NY,1,ampas,2025-04-14 05:16:46
Cakra Adinegara,1,kok cacat ya,2025-04-14 04:46:36
Nur Kholifah,1,"data aku udah tersimpan otomatis,tapi masih aja gagal buat masuk,tolong diperbaiki lagi dong",2025-04-14 01:08:11
arief zoogie,1,mau bayar pajak aja dipersulit... aplikasi sampah,2025-04-13 10:03:33
Trisno Hana,1,tidak bisa log in minta ini itu apalah tidak berguna buat rakyat,2025-04-13 09:32:13
Rut Palop,5,tertarik,2025-04-13 08:51:29
Heru Adi W,5,ok punya,2025-04-12 10:45:52
Supria di,1,yg bikin nya kaya gimana sih ngerti bikin apk kh,2025-04-12 10:26:27
RIN GO,2,"ini bagaimana nomor pajak saya ada 16 sedangkan di aplikasi harus 15 angka, asli sangat di sayang kan nih pajak di Indonesia.",2025-04-12 08:55:35
Renaldi Fernando,1,"maunya apa sih layanan pemerintahan, susah amat mau akses bikin npwp online aja, udah berbulan-bulan kaya sebodo aja. tim IT dan badan pemerintahan yang terkait, tolong benerin web coretax bagian jenis pekerjaan udah isi tetap aja kesalahan disitu (BUG). layanan pemerintahan gak online gak offline gak ada yang simple setiap mau ngurus apa2. RIBET TERLALU BERTELE-TELE.",2025-04-12 07:56:30
Muhammad Deva,1,"aplikasi tidak berguna,, verifikasi aja lama apalagi verifikasi nomor televon",2025-04-12 07:02:55
Daris,1,membingungkan,2025-04-12 03:37:30
Maulida Rahma,1,"aplikasi sulit di gunakan, apalagi kalau mau daftar di link nya susah harus potong pulsa dan terus gagal",2025-04-11 23:34:02
santi rahayu,1,"kenapa gak ada fitur untuk ubah nomor handphone?, masa untuk sekedar ubah nomor handphone harus ke kantor pajak.",2025-04-11 20:48:24
Banu Agung,2,"Hati hati sekali ! untuk para masyarakat , modus penipuan mengatasnamakan DJP , modus nya mengatasnamakan pensiunan orang tua , ( sy garis bawahi bukan aplikasi ini ya ) sangat rapih sekali operasinya. Mereka menghubungi melalui via wa dan telpon biasa mengatasnamakan DJP dan rekeningnya atas nama pribadi. pemerintah mohon untuk tidak keras pelaku pelaku seperti itu. semoga bermanfaat untuk semua nya . terimakasih.( ini berdasarkan apa yg sy alami)",2025-04-11 14:23:54
aCupofCoffee,1,hebat ga bisa daftar lewat apk. ribet banget,2025-04-11 12:34:57
Poetra,1,aplikasi parah...gak bisa login..,2025-04-11 12:16:38
edho fabima97,1,sampah,2025-04-11 11:43:56
BANG SINDANA,1,aplikasi nya tidak bisa login error trus,2025-04-11 10:36:58
Ahmad Abdullah,5,bagus,2025-04-11 10:36:12
Nuris MS,1,yakin ini UI nya elek banget. ini benerap PNS di dinas perpajakan kinerjanya seperti ini?,2025-04-11 10:13:32
Nizar Rahman,1,ini aplikasi dengan biaya pengembangan 1 triliun?,2025-04-11 04:49:51
Rahman Nabil,1,"gabisa masuk, aturannya aja diperketat, sistem pembayarannya masih banyak yg cacat",2025-04-11 04:15:32
moh syukur,5,memufmdahkan,2025-04-11 04:13:43
Pete Play,1,"harusnya bisa lah nomor efin dikirim lewat email, ga harus dateng ke kantor , ngapain sih kaya gini doang harus dibikin ruwet , dikira orang hidupnya cuma ngurus hal beginian aja ,orang juga punya kesibukan,",2025-04-11 02:56:29
gilang buana,1,"ribet,aplikasi gagal Mulu,,segitu mau bayar,mau bayar aja di bikin ribet",2025-04-11 00:57:48
Antoni Antoni,1,apalah ujungnya tetep disuruh kekantor pajak,2025-04-10 18:50:28
Nenden Aprianti,1,"Kalau bisa bintang kosong ku kasih bintang kosong ini aplikasi, percumah gangguan system terus kebanyakan . . . . . . . .!!!!",2025-04-10 13:03:03
Momo Syifa,1,login mau lapor pajak aja di persulit,2025-04-10 12:05:45
Sahruni Runi,5,sangat membantu dlm pelaporan pajak,2025-04-10 11:32:22
Baank Oceans,3,Ya Allah tolong donk.. kita juga ingin bayar pajak.. tapi error terus.baik dari aplikasi ini maupun website..,2025-04-10 10:41:27
Muhammad Ganes,1,"Aplikasi yang sangat tidak membantu, malah mempersulit, pajak di naikkan buat aplikasi aja mentah",2025-04-10 10:37:30
Herli Cs,5,saya baru mencoba,2025-04-10 06:43:30
nu albanzya22,1,"masuk susah, gak ada menu lupa password",2025-04-10 00:38:59
Arjuno Putro,1,"aplikasi sampah,, sama kayak para pejabat,,",2025-04-09 16:59:35
Alcatraz 69,1,ga bisa daftar...,2025-04-09 15:44:47
IRHAM,1,"seru baca di situsnya banyak berita saham sama dividen dan THR juga, uda kayak baca koran, aplikasinya juga cocok kayak namanya dengan fitur canggih dan biaya mahal bisa lihat map",2025-04-09 08:08:09
Cicih Nurmalika,5,ga bisa login,2025-04-09 07:47:18
Ade Rahmawati,2,"gak bisa masuk ini teh, error terus min.",2025-04-09 07:07:51
Dicki Arigustian,1,tidak ada menu daftar di aplikasi,2025-04-09 06:17:01
Abdul Rahmat Zulfikar,1,aplikasi tidak mutu masa baru buka sdh keluar sendri,2025-04-09 04:40:03
Tiponk 85,5,ok,2025-04-09 04:19:04
Panji Syafudin Ali,1,Aplikasi SANGAT Pro,2025-04-09 02:17:59
Rapik Soejadmoko,1,selalu gagal cek efrin,2025-04-08 21:11:30
Nur Rivai,1,aplikasi sampah gak bisa di gunain sama sekali👎👎👎👎👎,2025-04-08 16:41:02
Koko Komo,1,aplikasi gak berguna,2025-04-08 12:45:34
Fardian Al Habieb,1,awas ini aplikasi Phising,2025-04-08 10:02:23
rangga nata,1,aplikasi ampas,2025-04-08 04:16:17
Okto Vianto,1,trus gmn klo lupa password dan nomor HP nya ganti yg lm udah ilang,2025-04-07 08:21:31
