content,source,cleaned,t,sentiment_score,sentiment
Aplikasi rusak,playstore,aplikasi rusak,"['aplikasi', 'rusak']",-13,negative
ada scam nya. hati hati kena hack dan iklan,playstore,ada scam nya hati hati kena hack dan iklan,"['ada', 'scam', 'ya', 'hati', 'hati', 'kena', 'hack', 'dan', 'iklan']",-32,negative
sangat membantu sekali.,playstore,sangat membantu sekali,"['sangat', 'membantu', 'sekali']",-10,negative
bgus pelyaany,playstore,bgus pelyaany,"['bagus', 'pelyaany']",-4,negative
aplikasi aneh,playstore,aplikasi aneh,"['aplikasi', 'aneh']",-13,negative
"astaga untuk pengajuan lupa EFIN aja lama kali, masa terus terusan eror, tadi udah 10% gagal lagi",playstore,astaga untuk pengajuan lupa efin aja lama kali masa terus terusan eror tadi udah  gagal lagi,"['astaga', 'untuk', 'pengajuan', 'lupa', 'efin', 'saja', 'lama', 'kali', 'masa', 'terus', 'terusan', 'eror', 'tadi', 'sudah', '10', 'gagal', 'lagi']",-59,negative
ko login error knpa ya?,playstore,ko login error knpa ya,"['kok', 'login', 'error', 'kenapa', 'ya']",-36,negative
pelayanan jeles sekali ga bisa kasih solusi,playstore,pelayanan jeles sekali ga bisa kasih solusi,"['pelayanan', 'jeles', 'sekali', 'tidak', 'bisa', 'kasih', 'solusi']",-14,negative
gajelas appnya,playstore,gajelas appnya,"['tidak jelas', 'appnya']",-9,negative
saya kurang mengerti dan memahami bagaimana penggunaan aplikasi ini...sering dapat telp mengatasnamakan Ditjen pajak...dengan berbagai alasan masalah bla-bla-bla...🙏,playstore,saya kurang mengerti dan memahami bagaimana penggunaan aplikasi inisering dapat telp mengatasnamakan ditjen pajakdengan berbagai alasan masalah blablabla,"['saya', 'kurang', 'mengerti', 'dan', 'memahami', 'bagaimana', 'penggunaan', 'aplikasi', 'inisering', 'dapat', 'telp', 'mengatasnamakan', 'ditjen', 'pajakdengan', 'berbagai', 'alasan', 'masalah', 'blablabla']",-22,negative
ribet,playstore,ribet,['ribet'],-9,negative
Gak guna !!!,playstore,gak guna,"['tidak', 'guna']",-18,negative
"sa kesal sekali, buat NPWP jadi susah semenjak jadi cortax. verif 2 hari 2 malam. bodoh sekali",playstore,sa kesal sekali buat npwp jadi susah semenjak jadi cortax verif  hari  malam bodoh sekali,"['sa', 'kesal', 'sekali', 'buat', 'npwp', 'jadi', 'susah', 'semenjak', 'jadi', 'cortax', 'verif', '2', 'hari', '2', 'malam', 'bodoh', 'sekali']",-38,negative
"jangan nerima duit setoran pajak aja, perbaiki system web/aplikasinya. jaman digital masih lemot aja. verifikasi data sampai numpuk code otp. alhasil tidak bisa di masukkan.",playstore,jangan nerima duit setoran pajak aja perbaiki system webaplikasinya jaman digital masih lemot aja verifikasi data sampai numpuk code otp alhasil tidak bisa di masukkan,"['jangan', 'menerima', 'duit', 'setoran', 'pajak', 'saja', 'perbaiki', 'system', 'webaplikasinya', 'jaman', 'digital', 'masih', 'lemot', 'saja', 'verifikasi', 'data', 'sampai', 'numpuk', 'code', 'otp', 'alhasil', 'tidak', 'bisa', 'di', 'masukkan']",-77,negative
aneh kita yang bayar pajak kita yang laporan. dan mau laporan pun sulit dapat datanya.,playstore,aneh kita yang bayar pajak kita yang laporan dan mau laporan pun sulit dapat datanya,"['aneh', 'kita', 'yang', 'bayar', 'pajak', 'kita', 'yang', 'laporan', 'dan', 'mau', 'laporan', 'pun', 'sulit', 'dapat', 'datanya']",-51,negative
masuk ke dalam app saja nggak bisa. hanya halaman depannya saja yang terbuka,playstore,masuk ke dalam app saja nggak bisa hanya halaman depannya saja yang terbuka,"['masuk', 'ke', 'dalam', 'app', 'saja', 'tidak', 'bisa', 'hanya', 'halaman', 'depannya', 'saja', 'yang', 'terbuka']",-35,negative
aplikasi kont (sangat bagus),playstore,aplikasi kont sangat bagus,"['aplikasi', 'kont', 'sangat', 'bagus']",-18,negative
gk berfungsi apk kelas negeri ini,playstore,gk berfungsi apk kelas negeri ini,"['tidak', 'berfungsi', 'apk', 'kelas', 'negeri', 'ini']",-30,negative
"aplikasi lambat minta kode verifikasi ga masuk"" ke email. ga jelas",playstore,aplikasi lambat minta kode verifikasi ga masuk ke email ga jelas,"['aplikasi', 'lambat', 'meminta', 'kode', 'verifikasi', 'tidak', 'masuk', 'ke', 'email', 'tidak', 'jelas']",-35,negative
"Fix dong, kaga bisa login terus udah sebulan an, saya rating tinggi biar kebaca ama si admin ini",playstore,fix dong kaga bisa login terus udah sebulan an saya rating tinggi biar kebaca ama si admin ini,"['fix', 'dong', 'kagak', 'bisa', 'login', 'terus', 'sudah', 'sebulan', 'an', 'saya', 'rating', 'tinggi', 'biar', 'kebaca', 'sama', 'sih', 'admin', 'ini']",-57,negative
RIBET BGT TOT.,playstore,ribet bgt tot,"['ribet', 'banget', 'entot']",-18,negative
"pelayanan buruk banget.mudah di bikin ribet.whatsapp tidak ada fungsi nya.hanya tampilan saja ,keluhan di bikin sulit.",playstore,pelayanan buruk bangetmudah di bikin ribetwhatsapp tidak ada fungsi nyahanya tampilan saja keluhan di bikin sulit,"['pelayanan', 'buruk', 'bangetmudah', 'di', 'bikin', 'ribetwhatsapp', 'tidak', 'ada', 'fungsi', 'nyahanya', 'tampilan', 'saja', 'keluhan', 'di', 'bikin', 'sulit']",-64,negative
"di web dan apk pun sama, masa ganti no hp kudu ke kpp terdekat... tidak seperti dahulu",playstore,di web dan apk pun sama masa ganti no hp kudu ke kpp terdekat tidak seperti dahulu,"['di', 'web', 'dan', 'apk', 'pun', 'sama', 'masa', 'ganti', 'no', 'hp', 'kudu', 'ke', 'kpp', 'terdekat', 'tidak', 'seperti', 'dahulu']",-43,negative
cuma mau ngasih tau ini aplikasi nya bukan aplikasi resmi hati-hati karna bisa retas hp kalian,playstore,cuma mau ngasih tau ini aplikasi nya bukan aplikasi resmi hatihati karna bisa retas hp kalian,"['cuma', 'mau', 'mengasih', 'tau', 'ini', 'aplikasi', 'ya', 'bukan', 'aplikasi', 'resmi', 'hatihati', 'karena', 'bisa', 'retas', 'hp', 'kalian']",-60,negative
lemot banget. gajelas. verifikasi lama banget nunggunya,playstore,lemot banget gajelas verifikasi lama banget nunggunya,"['lemot', 'banget', 'tidak jelas', 'verifikasi', 'lama', 'banget', 'nunggunya']",-36,negative
"Daftarnya Lama Banget Ya?, Masa Sekelas Pemerintah Daftar Aja Lemot? Cuma Muter"" Gjls. Padahal Juga Sudah Bener isi Identitas nya",playstore,daftarnya lama banget ya masa sekelas pemerintah daftar aja lemot cuma muter gjls padahal juga sudah bener isi identitas nya,"['daftarnya', 'lama', 'banget', 'ya', 'masa', 'sekelas', 'pemerintah', 'daftar', 'saja', 'lemot', 'cuma', 'muter', 'gjls', 'padahal', 'juga', 'sudah', 'benar', 'isi', 'identitas', 'ya']",-59,negative
"Saya sangat kecewa sekarang, saya mau padankan NPWP dengan NIK lewat online, tetapi sekarang sudah tidak bisa,",playstore,saya sangat kecewa sekarang saya mau padankan npwp dengan nik lewat online tetapi sekarang sudah tidak bisa,"['saya', 'sangat', 'kecewa', 'sekarang', 'saya', 'mau', 'padankan', 'npwp', 'dengan', 'nik', 'lewat', 'online', 'tetapi', 'sekarang', 'sudah', 'tidak', 'bisa']",-71,negative
"aplikasi jmbt, kebanyakan dikrp",playstore,aplikasi jmbt kebanyakan dikrp,"['aplikasi', 'jmbt', 'kebanyakan', 'dikrp']",-7,negative
mau buat aja di persulit,playstore,mau buat aja di persulit,"['mau', 'buat', 'saja', 'di', 'persulit']",-21,negative
"Mau log in tapi yang muncuk error terus, kalau log in di web bisa.",playstore,mau log in tapi yang muncuk error terus kalau log in di web bisa,"['mau', 'log', 'ini', 'tapi', 'yang', 'muncuk', 'error', 'terus', 'kalau', 'log', 'ini', 'di', 'web', 'bisa']",-70,negative
"ini aplikasi palsu gaessss, bukan dari pemerintahan direktorat jendral pajak, ingat! ini aplikasi palsu, liat aja di instagram nya royshakti yg ada centang biru nya",playstore,ini aplikasi palsu gaessss bukan dari pemerintahan direktorat jendral pajak ingat ini aplikasi palsu liat aja di instagram nya royshakti yg ada centang biru nya,"['ini', 'aplikasi', 'palsu', 'gaessss', 'bukan', 'dari', 'pemerintahan', 'direktorat', 'jenderal', 'pajak', 'ingat', 'ini', 'aplikasi', 'palsu', 'lihat', 'saja', 'di', 'instagram', 'ya', 'royshakti', 'yang', 'ada', 'centang', 'biru', 'ya']",-94,negative
sangat bagus memudahkan,playstore,sangat bagus memudahkan,"['sangat', 'bagus', 'memudahkan']",-10,negative
bgst lama amat loading nya 🤣🤣🤣,playstore,bgst lama amat loading nya,"['bgst', 'lama', 'amat', 'loading', 'ya']",-18,negative
orang mau bayar pajak aja d persulit effien kenapa ga bisa online gmna mau maju ..bayar pajak aja d persulit,playstore,orang mau bayar pajak aja d persulit effien kenapa ga bisa online gmna mau maju bayar pajak aja d persulit,"['orang', 'mau', 'bayar', 'pajak', 'saja', 'di', 'persulit', 'effien', 'kenapa', 'tidak', 'bisa', 'online', 'bagaimana', 'mau', 'maju', 'bayar', 'pajak', 'saja', 'di', 'persulit']",-104,negative
"aplikasi tergak niatt si ini ,baru aja mau mau daftar tp ngga bisa "" ,boro"" login apk.nya klik daftar disininya aja ngga ada,",playstore,aplikasi tergak niatt si ini baru aja mau mau daftar tp ngga bisa  boro login apknya klik daftar disininya aja ngga ada,"['aplikasi', 'tergak', 'niatt', 'sih', 'ini', 'baru', 'saja', 'mau', 'mau', 'daftar', 'tapi', 'tidak', 'bisa', 'boro', 'login', 'apknya', 'klik', 'daftar', 'disininya', 'saja', 'tidak', 'ada']",-73,negative
Bismillah Alhamdulillah Masya Alloh laa Quwwata Illaa Billaah Barokalloh fiikum.Segera di upgrade Aplikasinya agar semakin mudah di akses,playstore,bismillah alhamdulillah masya alloh laa quwwata illaa billaah barokalloh fiikumsegera di upgrade aplikasinya agar semakin mudah di akses,"['bismillah', 'alhamdulillah', 'masya', 'allah', 'lah', 'quwwata', 'illaa', 'billaah', 'barokalloh', 'fiikumsegera', 'di', 'upgrade', 'aplikasinya', 'agar', 'semakin', 'mudah', 'di', 'akses']",-4,negative
bagus aplikasi nya tp Masih ada yg kurang,playstore,bagus aplikasi nya tp masih ada yg kurang,"['bagus', 'aplikasi', 'ya', 'tapi', 'masih', 'ada', 'yang', 'kurang']",-57,negative
susah apk nya error mulu,playstore,susah apk nya error mulu,"['susah', 'apk', 'ya', 'error', 'mulu']",-45,negative
tolong di perbaiki aplikasi nya soalnya no npwp saya 16 digit tapi yg di sediakan di kolom npwp hanya 15 digit 🙏🙏,playstore,tolong di perbaiki aplikasi nya soalnya no npwp saya  digit tapi yg di sediakan di kolom npwp hanya  digit,"['tolong', 'di', 'perbaiki', 'aplikasi', 'ya', 'soalnya', 'no', 'npwp', 'saya', '16', 'digit', 'tapi', 'yang', 'di', 'sediakan', 'di', 'kolom', 'npwp', 'hanya', '15', 'digit']",-95,negative
"kirim kode verifikasi sangat lambat, jadi harus minta kode verifikasi ulang. Dan tetap lambat lagi.......akhirnya uninstal aplikasi.",playstore,kirim kode verifikasi sangat lambat jadi harus minta kode verifikasi ulang dan tetap lambat lagiakhirnya uninstal aplikasi,"['kirim', 'kode', 'verifikasi', 'sangat', 'lambat', 'jadi', 'harus', 'meminta', 'kode', 'verifikasi', 'ulang', 'dan', 'tetap', 'lambat', 'lagiakhirnya', 'uninstal', 'aplikasi']",-39,negative
login gagal d perifikasi email padahal nomer udah benerr hadeh amit2 apa2 d persulit mulu dah,playstore,login gagal d perifikasi email padahal nomer udah benerr hadeh amit apa d persulit mulu dah,"['login', 'gagal', 'di', 'perifikasi', 'email', 'padahal', 'nomer', 'sudah', 'benar', 'hadeh', 'amit-amit', 'apa-apa', 'di', 'persulit', 'mulu', 'sudah']",-67,negative
aplikasi cacat kenapasih kebanyakan aplikasi publik punya pemerintah banyak error nya mau daftar npwp aja ga bisa bisa,playstore,aplikasi cacat kenapasih kebanyakan aplikasi publik punya pemerintah banyak error nya mau daftar npwp aja ga bisa bisa,"['aplikasi', 'cacat', 'kenapasih', 'kebanyakan', 'aplikasi', 'publik', 'punya', 'pemerintah', 'banyak', 'error', 'ya', 'mau', 'daftar', 'npwp', 'saja', 'tidak', 'bisa', 'bisa']",-91,negative
"APLIKASI RUSAK,MAU BUAT NPWP SERVER NYA DIREFRES MALAH BALIK KE AWAL HABISIN PULSA AJA, SERVER RUSAK!",playstore,aplikasi rusakmau buat npwp server nya direfres malah balik ke awal habisin pulsa aja server rusak,"['aplikasi', 'rusakmau', 'buat', 'npwp', 'server', 'ya', 'direfres', 'malah', 'balik', 'ke', 'awal', 'habisin', 'pulsa', 'saja', 'server', 'rusak']",-50,negative
"Buat lansia agak kesulitan juga pengerjaannya, lebih baik datang ke kantor Pajak setempat",playstore,buat lansia agak kesulitan juga pengerjaannya lebih baik datang ke kantor pajak setempat,"['buat', 'lansia', 'agak', 'kesulitan', 'juga', 'pengerjaannya', 'lebih', 'baik', 'datang', 'ke', 'kantor', 'pajak', 'setempat']",-8,negative
"error terus saat login, berkali-kali notif sesi habis.",playstore,error terus saat login berkalikali notif sesi habis,"['error', 'terus', 'saat', 'login', 'berkalikali', 'notif', 'sesi', 'habis']",-21,negative
"Mau daftar kok ngga bisa setiap di klik menu tidak tersedia , ya klo ngga tersedia jgn buat aplikasi",playstore,mau daftar kok ngga bisa setiap di klik menu tidak tersedia  ya klo ngga tersedia jgn buat aplikasi,"['mau', 'daftar', 'kok', 'tidak', 'bisa', 'setiap', 'di', 'klik', 'menu', 'tidak', 'tersedia', 'ya', 'kalau', 'tidak', 'tersedia', 'jangan', 'buat', 'aplikasi']",-71,negative
dongo !!!,playstore,dongo,['dongo'],-9,negative
"emang apa apa yg dibuat pemerintah semua sampah, sudaah berhasil registrasi. giliran cari dokumen kartu palah ga ada",playstore,emang apa apa yg dibuat pemerintah semua sampah sudaah berhasil registrasi giliran cari dokumen kartu palah ga ada,"['memang', 'apa', 'apa', 'yang', 'dibuat', 'pemerintah', 'semua', 'sampah', 'sudaah', 'berhasil', 'registrasi', 'giliran', 'cari', 'dokumen', 'kartu', 'palah', 'tidak', 'ada']",-34,negative
jelek amat keluar mulu aplikasi nya,playstore,jelek amat keluar mulu aplikasi nya,"['jelek', 'amat', 'keluar', 'mulu', 'aplikasi', 'ya']",-35,negative
"Jelek bgt, mau log in aja error bgt. jelek nungguin kode otp SMS 1 jam ga bisa2",playstore,jelek bgt mau log in aja error bgt jelek nungguin kode otp sms  jam ga bisa,"['jelek', 'banget', 'mau', 'log', 'ini', 'saja', 'error', 'banget', 'jelek', 'menunggu', 'kode', 'otp', 'sms', '1', 'jam', 'tidak', 'bisa2']",-73,negative
gabisa login,playstore,gabisa login,"['tidak bisa', 'login']",-9,negative
"sangat buruk, aplikasi nya error terus saat login",playstore,sangat buruk aplikasi nya error terus saat login,"['sangat', 'buruk', 'aplikasi', 'ya', 'error', 'terus', 'saat', 'login']",-46,negative
sangat baik,playstore,sangat baik,"['sangat', 'baik']",-6,negative
Ribet,playstore,ribet,['ribet'],-9,negative
jelek,playstore,jelek,['jelek'],-9,negative
ga guna,playstore,ga guna,"['tidak', 'guna']",-18,negative
gajelas error mulu,playstore,gajelas error mulu,"['tidak jelas', 'error', 'mulu']",-27,negative
pajak gak guna ngurus online ribet MW minta efin tapi kolom cuma 15 sedangkan npwp 2025 sudah sama nik.gak ngotak .bubar aja ..,playstore,pajak gak guna ngurus online ribet mw minta efin tapi kolom cuma  sedangkan npwp  sudah sama nikgak ngotak bubar aja,"['pajak', 'tidak', 'guna', 'mengurus', 'online', 'ribet', 'mau', 'meminta', 'efin', 'tapi', 'kolom', 'cuma', '15', 'sedangkan', 'npwp', '2025', 'sudah', 'sama', 'nikgak', 'ngotak', 'bubar', 'saja']",-78,negative
aplikasi tolol,playstore,aplikasi tolol,"['aplikasi', 'tolol']",-14,negative
"Tolong di perbarui untuk pengajuan EFIN. Karena NPWP sekarang 16 digit, sedangkan di aplikasi masih 15 digit. Terimakasih",playstore,tolong di perbarui untuk pengajuan efin karena npwp sekarang  digit sedangkan di aplikasi masih  digit terimakasih,"['tolong', 'di', 'perbarui', 'untuk', 'pengajuan', 'efin', 'karena', 'npwp', 'sekarang', '16', 'digit', 'sedangkan', 'di', 'aplikasi', 'masih', '15', 'digit', 'terimakasih']",-45,negative
kurang tanggap terhadap keluhan tapi maklum harus menunggu perhitungan tahunan.,playstore,kurang tanggap terhadap keluhan tapi maklum harus menunggu perhitungan tahunan,"['kurang', 'tanggap', 'terhadap', 'keluhan', 'tapi', 'maklum', 'harus', 'menunggu', 'perhitungan', 'tahunan']",-28,negative
"LOG IN ERORRRRRRRR ,, Bukan diperbaiki ,",playstore,log in erorrrrrrrr  bukan diperbaiki,"['log', 'ini', 'erorrrrrrrr', 'bukan', 'diperbaiki']",-3,negative
"susah banget mau buat NPWP kode otp tidak masuk,tanya CS gak di jawab alasan sibuk",playstore,susah banget mau buat npwp kode otp tidak masuktanya cs gak di jawab alasan sibuk,"['susah', 'banget', 'mau', 'buat', 'npwp', 'kode', 'otp', 'tidak', 'masuktanya', 'cs', 'tidak', 'di', 'jawab', 'alasan', 'sibuk']",-65,negative
3 nomor aku pake buat verifikasi gak masuk2 pesannya.,playstore,nomor aku pake buat verifikasi gak masuk pesannya,"['3', 'nomor', 'aku', 'pakai', 'buat', 'verifikasi', 'tidak', 'masuk2', 'pesannya']",-9,negative
aplikasi ngga bener,playstore,aplikasi ngga bener,"['aplikasi', 'tidak', 'benar']",-27,negative
"ribet, aktivasi akun dan epin aja bagi WP pribadi harus ke kantor dengan segala aturan dll etc. sepatu. sedangkan saya baru mau bekerja kembali setelah sekian tahun lamanya menganggur. seharusnya di apk DJP online ini sediakanlah layanan online untuk aktifasi epin dan akun tanpa harus ke kantor pajak terdekat bagi kaum karyawan. karena biasanya akan terganggu jam kerjanya.",playstore,ribet aktivasi akun dan epin aja bagi wp pribadi harus ke kantor dengan segala aturan dll etc sepatu sedangkan saya baru mau bekerja kembali setelah sekian tahun lamanya menganggur seharusnya di apk djp online ini sediakanlah layanan online untuk aktifasi epin dan akun tanpa harus ke kantor pajak terdekat bagi kaum karyawan karena biasanya akan terganggu jam kerjanya,"['ribet', 'aktivasi', 'akun', 'dan', 'epin', 'saja', 'bagi', 'wp', 'pribadi', 'harus', 'ke', 'kantor', 'dengan', 'segala', 'aturan', 'dll', 'etc', 'sepatu', 'sedangkan', 'saya', 'baru', 'mau', 'bekerja', 'kembali', 'setelah', 'sekian', 'tahun', 'lamanya', 'menganggur', 'seharusnya', 'di', 'apk', 'djp', 'online', 'ini', 'sediakanlah', 'layanan', 'online', 'untuk', 'aktifasi', 'epin', 'dan', 'akun', 'tanpa', 'harus', 'ke', 'kantor', 'pajak', 'terdekat', 'bagi', 'kaum', 'karyawan', 'karena', 'biasanya', 'akan', 'terganggu', 'jam', 'kerjanya']",-74,negative
aplikasi gak guna gathel live chat ngomong sama robot 👎kirim kode otp nomor telepone sampai hanis pulsa gak dikirim kirim👎kan tolollll,playstore,aplikasi gak guna gathel live chat ngomong sama robot kirim kode otp nomor telepone sampai hanis pulsa gak dikirim kirimkan tolollll,"['aplikasi', 'tidak', 'guna', 'gathel', 'live', 'chat', 'mengomong', 'sama', 'robot', 'kirim', 'kode', 'otp', 'nomor', 'telepone', 'sampai', 'hanis', 'pulsa', 'tidak', 'dikirim', 'kirimkan', 'tolollll']",-45,negative
"update dong biar yang baru bikin npwp bisa login,mau login aja susahnya minta ampun",playstore,update dong biar yang baru bikin npwp bisa loginmau login aja susahnya minta ampun,"['update', 'dong', 'biar', 'yang', 'baru', 'bikin', 'npwp', 'bisa', 'loginmau', 'login', 'saja', 'susahnya', 'meminta', 'ampun']",-52,negative
sering susah login,playstore,sering susah login,"['sering', 'susah', 'login']",-6,negative
"aplikasi ga bener, sekelas pemerintahan bikin aplikasi seribet ini, alur gajelas",playstore,aplikasi ga bener sekelas pemerintahan bikin aplikasi seribet ini alur gajelas,"['aplikasi', 'tidak', 'benar', 'sekelas', 'pemerintahan', 'bikin', 'aplikasi', 'seribet', 'ini', 'alur', 'tidak jelas']",-67,negative
"aplikasi apaan ga membantu sama sekali, mau pengajuan Efin sudah ngisi data foto wajah ehh ""terdapat kesalahan pada sistem kami Mulu"" udah coba di 2 hari sama aja gitu Mulu... niat ga si bantu warga nihh mau bener juga di persulit...",playstore,aplikasi apaan ga membantu sama sekali mau pengajuan efin sudah ngisi data foto wajah ehh terdapat kesalahan pada sistem kami mulu udah coba di  hari sama aja gitu mulu niat ga si bantu warga nihh mau bener juga di persulit,"['aplikasi', 'apaan', 'tidak', 'membantu', 'sama', 'sekali', 'mau', 'pengajuan', 'efin', 'sudah', 'ngisi', 'data', 'foto', 'wajah', 'eh', 'terdapat', 'kesalahan', 'pada', 'sistem', 'kami', 'mulu', 'sudah', 'coba', 'di', '2', 'hari', 'sama', 'saja', 'begitu', 'mulu', 'niat', 'tidak', 'sih', 'bantu', 'warga', 'nih', 'mau', 'benar', 'juga', 'di', 'persulit']",-139,negative
"aplikasi ini tidak ada manfaatnya. dihapus saja dari play store, sama sekali TIDAK membantu masyarakat",playstore,aplikasi ini tidak ada manfaatnya dihapus saja dari play store sama sekali tidak membantu masyarakat,"['aplikasi', 'ini', 'tidak', 'ada', 'manfaatnya', 'dihapus', 'saja', 'dari', 'play', 'store', 'sama', 'sekali', 'tidak', 'membantu', 'masyarakat']",-56,negative
aplikasi ini menipu..ini bukan aplikasi pajak tapi aplikasi scam.,playstore,aplikasi ini menipuini bukan aplikasi pajak tapi aplikasi scam,"['aplikasi', 'ini', 'menipuini', 'bukan', 'aplikasi', 'pajak', 'tapi', 'aplikasi', 'scam']",-66,negative
Aplikasi yang mempersulit pembayaran pajak,playstore,aplikasi yang mempersulit pembayaran pajak,"['aplikasi', 'yang', 'mempersulit', 'pembayaran', 'pajak']",-32,negative
sekarang kok bikin NPWP susah bnr. orang belum pernah bikin keterangan NIK di duplikasi. giliran nik udah oke yg masalah KK tidak valid. karepe piye mboh..,playstore,sekarang kok bikin npwp susah bnr orang belum pernah bikin keterangan nik di duplikasi giliran nik udah oke yg masalah kk tidak valid karepe piye mboh,"['sekarang', 'kok', 'bikin', 'npwp', 'susah', 'benar', 'orang', 'belum', 'pernah', 'bikin', 'keterangan', 'nik', 'di', 'duplikasi', 'giliran', 'nik', 'sudah', 'oke', 'yang', 'masalah', 'kakak', 'tidak', 'valid', 'karepe', 'piye', 'mboh']",-99,negative
"aplikasi banyak bug lemot kebanyakan update, kemana aja uang pajak buat aplikasi bagus aja gak bisa kebanyakan di korupsi kayaknya",playstore,aplikasi banyak bug lemot kebanyakan update kemana aja uang pajak buat aplikasi bagus aja gak bisa kebanyakan di korupsi kayaknya,"['aplikasi', 'banyak', 'bug', 'lemot', 'kebanyakan', 'update', 'kemana', 'saja', 'uang', 'pajak', 'buat', 'aplikasi', 'bagus', 'saja', 'tidak', 'bisa', 'kebanyakan', 'di', 'korupsi', 'kayaknya']",-98,negative
"Loh mau masukkan npwp karena sesuai malah NIK gak muat jadinya gak bisa akses EFIN. Seharusnya app pajak lebih bagus dari semua instansi ini karena berhubungan dengan uang ini malah gak update. App pemerintah kalah dengan app swasta, aneh",playstore,loh mau masukkan npwp karena sesuai malah nik gak muat jadinya gak bisa akses efin seharusnya app pajak lebih bagus dari semua instansi ini karena berhubungan dengan uang ini malah gak update app pemerintah kalah dengan app swasta aneh,"['loh', 'mau', 'masukkan', 'npwp', 'karena', 'sesuai', 'malah', 'nik', 'tidak', 'muat', 'jadinya', 'tidak', 'bisa', 'akses', 'efin', 'seharusnya', 'app', 'pajak', 'lebih', 'bagus', 'dari', 'semua', 'instansi', 'ini', 'karena', 'berhubungan', 'dengan', 'uang', 'ini', 'malah', 'tidak', 'update', 'app', 'pemerintah', 'kalah', 'dengan', 'app', 'swasta', 'aneh']",-139,negative
"Ribetnya buat NPWP, nggak usah bayar pajak, toh penghasilanku di bawah batas PTKP",playstore,ribetnya buat npwp nggak usah bayar pajak toh penghasilanku di bawah batas ptkp,"['ribetnya', 'buat', 'npwp', 'tidak', 'usah', 'bayar', 'pajak', 'toh', 'penghasilanku', 'di', 'bawah', 'batas', 'ptkp']",-46,negative
