content,source,cleaned,t,sentiment_score,sentiment,tokens,joined,topik
mau lapor spt tahunan ngga ada pilihnanya kocak,playstore,mau lapor spt tahunan ngga ada pilihnanya kocak,"['mau', 'lapor', 'seperti', 'tahunan', 'tidak', 'ada', 'pilihnanya', 'kocak']",-7,negative,"['lapor', 'spt', 'tahunan', 'ngga', 'pilihnanya', 'kocak']",lapor spt tahunan ngga pilihnanya kocak,Topik 3 - Lapor Pajak/SPT
pegawai pajak kerjanya apa? karyawan diminta laporan pajak sendiri,playstore,pegawai pajak kerjanya apa karyawan diminta laporan pajak sendiri,"['pegawai', 'pajak', 'kerjanya', 'apa', 'karyawan', 'diminta', 'laporan', 'pajak', 'sendiri']",-23,negative,"['pegawai', 'pajak', 'kerjanya', 'karyawan', 'laporan', 'pajak']",pegawai pajak kerjanya karyawan laporan pajak,Topik 3 - Lapor Pajak/SPT
ini gimana aplikasi nya. cara lapor pajaknya aja ribet.,playstore,ini gimana aplikasi nya cara lapor pajaknya aja ribet,"['ini', 'bagaimana', 'aplikasi', 'ya', 'cara', 'lapor', 'pajaknya', 'saja', 'ribet']",-30,negative,"['gimana', 'aplikasi', 'nya', 'lapor', 'pajaknya', 'aja', 'ribet']",gimana aplikasi nya lapor pajaknya aja ribet,Topik 3 - Lapor Pajak/SPT
mitra pelaporan yg cerdas,playstore,mitra pelaporan yg cerdas,"['mitra', 'pelaporan', 'yang', 'cerdas']",-9,negative,"['mitra', 'pelaporan', 'cerdas']",mitra pelaporan cerdas,Topik 3 - Lapor Pajak/SPT
"bisa gak bikin ide inovasi singkat gak ribet lapor pajak gak usah ribet2 amat,,contoh org bank sana masa gak bisa niru kalian atau kalian senang org bayar pajak ini di denda karna gak lapor pajak padahal uangnya mereka sudah kalian makan",playstore,bisa gak bikin ide inovasi singkat gak ribet lapor pajak gak usah ribet amatcontoh org bank sana masa gak bisa niru kalian atau kalian senang org bayar pajak ini di denda karna gak lapor pajak padahal uangnya mereka sudah kalian makan,"['bisa', 'tidak', 'bikin', 'ide', 'inovasi', 'singkat', 'tidak', 'ribet', 'lapor', 'pajak', 'tidak', 'usah', 'ribet2', 'amatcontoh', 'orang', 'bank', 'sana', 'masa', 'tidak', 'bisa', 'meniru', 'kalian', 'atau', 'kalian', 'senang', 'orang', 'bayar', 'pajak', 'ini', 'di', 'denda', 'karena', 'tidak', 'lapor', 'pajak', 'padahal', 'uangnya', 'mereka', 'sudah', 'kalian', 'makan']",-143,negative,"['gak', 'bikin', 'ide', 'inovasi', 'singkat', 'gak', 'ribet', 'lapor', 'pajak', 'gak', 'ribet', 'amatcontoh', 'org', 'bank', 'gak', 'niru', 'senang', 'org', 'bayar', 'pajak', 'denda', 'karna', 'gak', 'lapor', 'pajak', 'uangnya', 'makan']",gak bikin ide inovasi singkat gak ribet lapor pajak gak ribet amatcontoh org bank gak niru senang org bayar pajak denda karna gak lapor pajak uangnya makan,Topik 3 - Lapor Pajak/SPT
orang nganggur sudah tidak kerja jgn suruh lapor pajak. apanya yg mau lapor kan sudah dilaporkan oleh perusahaan. ngapain minta perorangan lgi.,playstore,orang nganggur sudah tidak kerja jgn suruh lapor pajak apanya yg mau lapor kan sudah dilaporkan oleh perusahaan ngapain minta perorangan lgi,"['orang', 'nganggur', 'sudah', 'tidak', 'kerja', 'jangan', 'suruh', 'lapor', 'pajak', 'apanya', 'yang', 'mau', 'lapor', 'kan', 'sudah', 'dilaporkan', 'oleh', 'perusahaan', 'mengapai', 'meminta', 'perorangan', 'lagi']",-50,negative,"['orang', 'nganggur', 'kerja', 'jgn', 'suruh', 'lapor', 'pajak', 'apanya', 'lapor', 'dilaporkan', 'perusahaan', 'ngapain', 'perorangan', 'lgi']",orang nganggur kerja jgn suruh lapor pajak apanya lapor dilaporkan perusahaan ngapain perorangan lgi,Topik 3 - Lapor Pajak/SPT
"kita yg byar pajak pakai uang kita sndri mau lapor pajak aj susah e minta ampun,lucu konoha",playstore,kita yg byar pajak pakai uang kita sndri mau lapor pajak aj susah e minta ampunlucu konoha,"['kita', 'yang', 'byar', 'pajak', 'pakai', 'uang', 'kita', 'sendiri', 'mau', 'lapor', 'pajak', 'saja', 'susah', 'e', 'meminta', 'ampunlucu', 'konoha']",-29,negative,"['byar', 'pajak', 'pakai', 'uang', 'sndri', 'lapor', 'pajak', 'susah', 'ampunlucu', 'konoha']",byar pajak pakai uang sndri lapor pajak susah ampunlucu konoha,Topik 3 - Lapor Pajak/SPT
"gak guna, hanya dashboard biasa aja gak ada menu pelaporan",playstore,gak guna hanya dashboard biasa aja gak ada menu pelaporan,"['tidak', 'guna', 'hanya', 'dashboard', 'biasa', 'saja', 'tidak', 'ada', 'menu', 'pelaporan']",-40,negative,"['gak', 'dashboard', 'aja', 'gak', 'menu', 'pelaporan']",gak dashboard aja gak menu pelaporan,Topik 3 - Lapor Pajak/SPT
"pajak ngambilin uang rakyat.... rakyat yg bayar pajak malah rakyat juga yg hrus lapor pajak... konsepnya gimana ini.. pajak THR potongnya gila""n gede bangt",playstore,pajak ngambilin uang rakyat rakyat yg bayar pajak malah rakyat juga yg hrus lapor pajak konsepnya gimana ini pajak thr potongnya gilan gede bangt,"['pajak', 'ngambilin', 'uang', 'rakyat', 'rakyat', 'yang', 'bayar', 'pajak', 'malah', 'rakyat', 'juga', 'yang', 'harus', 'lapor', 'pajak', 'konsepnya', 'bagaimana', 'ini', 'pajak', 'thr', 'potongnya', 'gilan', 'gede', 'banget']",-65,negative,"['pajak', 'ngambilin', 'uang', 'rakyat', 'rakyat', 'bayar', 'pajak', 'rakyat', 'hrus', 'lapor', 'pajak', 'konsepnya', 'gimana', 'pajak', 'thr', 'potongnya', 'gilan', 'gede', 'bangt']",pajak ngambilin uang rakyat rakyat bayar pajak rakyat hrus lapor pajak konsepnya gimana pajak thr potongnya gilan gede bangt,Topik 3 - Lapor Pajak/SPT
gimana ini mau lapor spt kok ga ada kolom lapornya,playstore,gimana ini mau lapor spt kok ga ada kolom lapornya,"['bagaimana', 'ini', 'mau', 'lapor', 'seperti', 'kok', 'tidak', 'ada', 'kolom', 'lapornya']",-23,negative,"['gimana', 'lapor', 'spt', 'kolom', 'lapornya']",gimana lapor spt kolom lapornya,Topik 3 - Lapor Pajak/SPT
Aplikasi gak guna!! Gini negara mau maju darimana?? Pajak aja di gedein tapi pelayanan ruwet! Pengen lapor lewat online biar hemat waktu tapi malah muter-muter aja kayak kentut!,playstore,aplikasi gak guna gini negara mau maju darimana pajak aja di gedein tapi pelayanan ruwet pengen lapor lewat online biar hemat waktu tapi malah mutermuter aja kayak kentut,"['aplikasi', 'tidak', 'guna', 'begini', 'negara', 'mau', 'maju', 'darimana', 'pajak', 'saja', 'di', 'gedein', 'tapi', 'pelayanan', 'ruwet', 'pengin', 'lapor', 'lewat', 'online', 'biar', 'hemat', 'waktu', 'tapi', 'malah', 'mutermuter', 'saja', 'kayak', 'kentut']",-96,negative,"['aplikasi', 'gak', 'gini', 'negara', 'maju', 'darimana', 'pajak', 'aja', 'gedein', 'pelayanan', 'ruwet', 'pengen', 'lapor', 'online', 'biar', 'hemat', 'mutermuter', 'aja', 'kayak', 'kentut']",aplikasi gak gini negara maju darimana pajak aja gedein pelayanan ruwet pengen lapor online biar hemat mutermuter aja kayak kentut,Topik 3 - Lapor Pajak/SPT
"Nyushain udah di pajak, suruh lapor terus orang pajak kerjanya apa korupsi? Udah menunya nyulitin lagi cari lapor ga ada aplikasi payah...",playstore,nyushain udah di pajak suruh lapor terus orang pajak kerjanya apa korupsi udah menunya nyulitin lagi cari lapor ga ada aplikasi payah,"['nyushain', 'sudah', 'di', 'pajak', 'suruh', 'lapor', 'terus', 'orang', 'pajak', 'kerjanya', 'apa', 'korupsi', 'sudah', 'menunya', 'nyulitin', 'lagi', 'cari', 'lapor', 'tidak', 'ada', 'aplikasi', 'payah']",-90,negative,"['nyushain', 'udah', 'pajak', 'suruh', 'lapor', 'orang', 'pajak', 'kerjanya', 'korupsi', 'udah', 'menunya', 'nyulitin', 'cari', 'lapor', 'aplikasi', 'payah']",nyushain udah pajak suruh lapor orang pajak kerjanya korupsi udah menunya nyulitin cari lapor aplikasi payah,Topik 3 - Lapor Pajak/SPT
Negara aneh... Pajak kita sudah dibayar perusahaan harus kita lagi yang lapor. Udah itu kita mau lapor berbelit-belit. Ntah kapan lah Indonesia maju?,playstore,negara aneh pajak kita sudah dibayar perusahaan harus kita lagi yang lapor udah itu kita mau lapor berbelitbelit ntah kapan lah indonesia maju,"['negara', 'aneh', 'pajak', 'kita', 'sudah', 'dibayar', 'perusahaan', 'harus', 'kita', 'lagi', 'yang', 'lapor', 'sudah', 'itu', 'kita', 'mau', 'lapor', 'berbelitbelit', 'entah', 'kapan', 'lah', 'indonesia', 'maju']",-17,negative,"['negara', 'aneh', 'pajak', 'dibayar', 'perusahaan', 'lapor', 'udah', 'lapor', 'berbelitbelit', 'ntah', 'indonesia', 'maju']",negara aneh pajak dibayar perusahaan lapor udah lapor berbelitbelit ntah indonesia maju,Topik 3 - Lapor Pajak/SPT
Aplikasinya tidak ada untuk pelaporan pajak..dan tdk bisa mengunduh A1,playstore,aplikasinya tidak ada untuk pelaporan pajakdan tdk bisa mengunduh a,"['aplikasinya', 'tidak', 'ada', 'untuk', 'pelaporan', 'pajakdan', 'tidak', 'bisa', 'mengunduh', 'a1']",-39,negative,"['aplikasinya', 'pelaporan', 'pajakdan', 'tdk', 'mengunduh']",aplikasinya pelaporan pajakdan tdk mengunduh,Topik 3 - Lapor Pajak/SPT
Apakah tidak ada cara yang lebih mudah untuk melaporkan pajak secara online? Alur lapor pajak sangat sulit dipahami oleh orang awam seperti saya,playstore,apakah tidak ada cara yang lebih mudah untuk melaporkan pajak secara online alur lapor pajak sangat sulit dipahami oleh orang awam seperti saya,"['apakah', 'tidak', 'ada', 'cara', 'yang', 'lebih', 'mudah', 'untuk', 'melaporkan', 'pajak', 'secara', 'online', 'alur', 'lapor', 'pajak', 'sangat', 'sulit', 'dipahami', 'oleh', 'orang', 'awam', 'seperti', 'saya']",-57,negative,"['mudah', 'melaporkan', 'pajak', 'online', 'alur', 'lapor', 'pajak', 'sulit', 'dipahami', 'orang', 'awam']",mudah melaporkan pajak online alur lapor pajak sulit dipahami orang awam,Topik 3 - Lapor Pajak/SPT
"gak guna mau laporan aja susah,klau org nyuruh laporan pajak tingkatkan dlu sistemnya",playstore,gak guna mau laporan aja susahklau org nyuruh laporan pajak tingkatkan dlu sistemnya,"['tidak', 'guna', 'mau', 'laporan', 'saja', 'susahklau', 'orang', 'nyuruh', 'laporan', 'pajak', 'tingkatkan', 'dulu', 'sistemnya']",-53,negative,"['gak', 'laporan', 'aja', 'susahklau', 'org', 'nyuruh', 'laporan', 'pajak', 'tingkatkan', 'dlu', 'sistemnya']",gak laporan aja susahklau org nyuruh laporan pajak tingkatkan dlu sistemnya,Topik 3 - Lapor Pajak/SPT
Uang2 kita kenapa yang mengurus laporan kita juga,playstore,uang kita kenapa yang mengurus laporan kita juga,"['uang2', 'kita', 'kenapa', 'yang', 'mengurus', 'laporan', 'kita', 'juga']",-10,negative,"['uang', 'mengurus', 'laporan']",uang mengurus laporan,Topik 3 - Lapor Pajak/SPT
"Tidak pilihan eform SPT 1771, Padahal tahun lalu ada. Jadi gak fungsi",playstore,tidak pilihan eform spt  padahal tahun lalu ada jadi gak fungsi,"['tidak', 'pilihan', 'eform', 'seperti', '1771', 'padahal', 'tahun', 'lalu', 'ada', 'jadi', 'tidak', 'fungsi']",-16,negative,"['pilihan', 'eform', 'spt', 'gak', 'fungsi']",pilihan eform spt gak fungsi,Topik 3 - Lapor Pajak/SPT
Cara pelaporan pajak pratama,playstore,cara pelaporan pajak pratama,"['cara', 'pelaporan', 'pajak', 'pratama']",-9,negative,"['pelaporan', 'pajak', 'pratama']",pelaporan pajak pratama,Topik 3 - Lapor Pajak/SPT
"Di suruh laporan pajak on line tapi aplikas nya kayak telek , parah klu belum bagus mending ngak usah buat aplikasi ( di luncurkan ) 😡😡😡😡😡",playstore,di suruh laporan pajak on line tapi aplikas nya kayak telek  parah klu belum bagus mending ngak usah buat aplikasi  di luncurkan,"['di', 'suruh', 'laporan', 'pajak', 'on', 'line', 'tapi', 'aplikas', 'ya', 'kayak', 'telek', 'parah', 'kalau', 'belum', 'bagus', 'mending', 'tidak', 'usah', 'buat', 'aplikasi', 'di', 'luncurkan']",-99,negative,"['suruh', 'laporan', 'pajak', 'line', 'aplikas', 'nya', 'kayak', 'telek', 'parah', 'klu', 'bagus', 'mending', 'ngak', 'aplikasi', 'luncurkan']",suruh laporan pajak line aplikas nya kayak telek parah klu bagus mending ngak aplikasi luncurkan,Topik 3 - Lapor Pajak/SPT
"Ribet, memaksa dan pengancaman denda. Masyarakat yang dipungut pajak, masyarakat juga yang lapor, kan kocak. Harusnya masyarakat dipermudah untuk akses pembayaran dan petugas yang ngasih laporan ke masyarakat pajaknya dipotong berapa dan buat apa.",playstore,ribet memaksa dan pengancaman denda masyarakat yang dipungut pajak masyarakat juga yang lapor kan kocak harusnya masyarakat dipermudah untuk akses pembayaran dan petugas yang ngasih laporan ke masyarakat pajaknya dipotong berapa dan buat apa,"['ribet', 'memaksa', 'dan', 'pengancaman', 'denda', 'masyarakat', 'yang', 'dipungut', 'pajak', 'masyarakat', 'juga', 'yang', 'lapor', 'kan', 'kocak', 'harusnya', 'masyarakat', 'dipermudah', 'untuk', 'akses', 'pembayaran', 'dan', 'petugas', 'yang', 'mengasih', 'laporan', 'ke', 'masyarakat', 'pajaknya', 'dipotong', 'berapa', 'dan', 'buat', 'apa']",-31,negative,"['ribet', 'memaksa', 'pengancaman', 'denda', 'masyarakat', 'dipungut', 'pajak', 'masyarakat', 'lapor', 'kocak', 'masyarakat', 'dipermudah', 'akses', 'pembayaran', 'petugas', 'ngasih', 'laporan', 'masyarakat', 'pajaknya', 'dipotong']",ribet memaksa pengancaman denda masyarakat dipungut pajak masyarakat lapor kocak masyarakat dipermudah akses pembayaran petugas ngasih laporan masyarakat pajaknya dipotong,Topik 3 - Lapor Pajak/SPT
"Aplikasi nya gak berguna sumpah, orang mau lapor pajak ini chat online nya gak bisa !!!",playstore,aplikasi nya gak berguna sumpah orang mau lapor pajak ini chat online nya gak bisa,"['aplikasi', 'ya', 'tidak', 'berguna', 'sumpah', 'orang', 'mau', 'lapor', 'pajak', 'ini', 'chat', 'online', 'ya', 'tidak', 'bisa']",-68,negative,"['aplikasi', 'nya', 'gak', 'berguna', 'sumpah', 'orang', 'lapor', 'pajak', 'chat', 'online', 'nya', 'gak']",aplikasi nya gak berguna sumpah orang lapor pajak chat online nya gak,Topik 3 - Lapor Pajak/SPT
Laporan spt tahunan gak bisa payah bgt apk ini jgn unduh j ya gak guna,playstore,laporan spt tahunan gak bisa payah bgt apk ini jgn unduh j ya gak guna,"['laporan', 'seperti', 'tahunan', 'tidak', 'bisa', 'payah', 'banget', 'apk', 'ini', 'jangan', 'unduh', 'saja', 'ya', 'tidak', 'guna']",-93,negative,"['laporan', 'spt', 'tahunan', 'gak', 'payah', 'bgt', 'apk', 'jgn', 'unduh', 'gak']",laporan spt tahunan gak payah bgt apk jgn unduh gak,Topik 3 - Lapor Pajak/SPT
"Mau lapor aja, ribet",playstore,mau lapor aja ribet,"['mau', 'lapor', 'saja', 'ribet']",-4,negative,"['lapor', 'aja', 'ribet']",lapor aja ribet,Topik 3 - Lapor Pajak/SPT
Aplikasi gak guna.. Mau laporan pajak nya susah dan ribet nya minta ampun,playstore,aplikasi gak guna mau laporan pajak nya susah dan ribet nya minta ampun,"['aplikasi', 'tidak', 'guna', 'mau', 'laporan', 'pajak', 'ya', 'susah', 'dan', 'ribet', 'ya', 'meminta', 'ampun']",-80,negative,"['aplikasi', 'gak', 'laporan', 'pajak', 'nya', 'susah', 'ribet', 'nya', 'ampun']",aplikasi gak laporan pajak nya susah ribet nya ampun,Topik 3 - Lapor Pajak/SPT
aplikasi yg mempersulit orang dimana uang kita di potong tapi kita yg harus melaporkan uang yg dipotong pegawai pajak nya pada ngapain,playstore,aplikasi yg mempersulit orang dimana uang kita di potong tapi kita yg harus melaporkan uang yg dipotong pegawai pajak nya pada ngapain,"['aplikasi', 'yang', 'mempersulit', 'orang', 'dimana', 'uang', 'kita', 'di', 'potong', 'tapi', 'kita', 'yang', 'harus', 'melaporkan', 'uang', 'yang', 'dipotong', 'pegawai', 'pajak', 'ya', 'pada', 'mengapai']",-85,negative,"['aplikasi', 'mempersulit', 'orang', 'dimana', 'uang', 'potong', 'melaporkan', 'uang', 'dipotong', 'pegawai', 'pajak', 'nya', 'ngapain']",aplikasi mempersulit orang dimana uang potong melaporkan uang dipotong pegawai pajak nya ngapain,Topik 3 - Lapor Pajak/SPT
"Parah... Aplikasi instansi pemerintahan tapi lelet bener mau mbuka.. ga bakal maju negara.. selalu sulit, mau laporan bayar pajak aja susah ,",playstore,parah aplikasi instansi pemerintahan tapi lelet bener mau mbuka ga bakal maju negara selalu sulit mau laporan bayar pajak aja susah,"['parah', 'aplikasi', 'instansi', 'pemerintahan', 'tapi', 'lelet', 'benar', 'mau', 'mbuka', 'tidak', 'bakal', 'maju', 'negara', 'selalu', 'sulit', 'mau', 'laporan', 'bayar', 'pajak', 'saja', 'susah']",-93,negative,"['parah', 'aplikasi', 'instansi', 'pemerintahan', 'lelet', 'bener', 'mbuka', 'maju', 'negara', 'sulit', 'laporan', 'bayar', 'pajak', 'aja', 'susah']",parah aplikasi instansi pemerintahan lelet bener mbuka maju negara sulit laporan bayar pajak aja susah,Topik 3 - Lapor Pajak/SPT
Mau lapor pajak ajah susah nya,playstore,mau lapor pajak ajah susah nya,"['mau', 'lapor', 'pajak', 'saja', 'susah', 'ya']",-22,negative,"['lapor', 'pajak', 'ajah', 'susah', 'nya']",lapor pajak ajah susah nya,Topik 3 - Lapor Pajak/SPT
"Mau lapor pajak aja susah di akses, mohon di benahi lagi dong kakak"", bapak"", ibuk"" Sekalian😴😴",playstore,mau lapor pajak aja susah di akses mohon di benahi lagi dong kakak bapak ibuk sekalian,"['mau', 'lapor', 'pajak', 'saja', 'susah', 'di', 'akses', 'mohon', 'di', 'benahi', 'lagi', 'dong', 'kakak', 'bapak', 'ibuk', 'sekalian']",-34,negative,"['lapor', 'pajak', 'aja', 'susah', 'akses', 'mohon', 'benahi', 'kakak', 'ibuk']",lapor pajak aja susah akses mohon benahi kakak ibuk,Topik 3 - Lapor Pajak/SPT
"Ga seperti tahun kemarin,skrng kalo lupa sandi lupa email akun djp online susah mau lapor spt,gmna ceritanya ini,makin kesini makin jelek mau d web mai d aplikasi",playstore,ga seperti tahun kemarinskrng kalo lupa sandi lupa email akun djp online susah mau lapor sptgmna ceritanya inimakin kesini makin jelek mau d web mai d aplikasi,"['tidak', 'seperti', 'tahun', 'kemarinskrng', 'kalau', 'lupa', 'sandi', 'lupa', 'email', 'akun', 'djp', 'online', 'susah', 'mau', 'lapor', 'sptgmna', 'ceritanya', 'inimakin', 'kesini', 'makin', 'jelek', 'mau', 'di', 'web', 'mau', 'di', 'aplikasi']",-55,negative,"['kemarinskrng', 'kalo', 'lupa', 'sandi', 'lupa', 'email', 'akun', 'djp', 'online', 'susah', 'lapor', 'sptgmna', 'ceritanya', 'inimakin', 'kesini', 'jelek', 'web', 'mai', 'aplikasi']",kemarinskrng kalo lupa sandi lupa email akun djp online susah lapor sptgmna ceritanya inimakin kesini jelek web mai aplikasi,Topik 3 - Lapor Pajak/SPT
"Tidak mutu sama sekali pelayanan pajak, kita sudah lapor SPT nunggu email verifukasi lama sudah diinput gagal trus Tidak laporan didenda Gajelas",playstore,tidak mutu sama sekali pelayanan pajak kita sudah lapor spt nunggu email verifukasi lama sudah diinput gagal trus tidak laporan didenda gajelas,"['tidak', 'mutu', 'sama', 'sekali', 'pelayanan', 'pajak', 'kita', 'sudah', 'lapor', 'seperti', 'menunggu', 'email', 'verifukasi', 'lama', 'sudah', 'diinput', 'gagal', 'terus', 'tidak', 'laporan', 'didenda', 'tidak jelas']",-75,negative,"['mutu', 'pelayanan', 'pajak', 'lapor', 'spt', 'nunggu', 'email', 'verifukasi', 'diinput', 'gagal', 'trus', 'laporan', 'didenda', 'gajelas']",mutu pelayanan pajak lapor spt nunggu email verifukasi diinput gagal trus laporan didenda gajelas,Topik 3 - Lapor Pajak/SPT
"Aplikasi gak jelas... Udh tinggal lapor aja kok sulit banget, minta kode ferifikasi gak di kirim2 dari pagi sampai sore",playstore,aplikasi gak jelas udh tinggal lapor aja kok sulit banget minta kode ferifikasi gak di kirim dari pagi sampai sore,"['aplikasi', 'tidak', 'jelas', 'sudah', 'tinggal', 'lapor', 'saja', 'kok', 'sulit', 'banget', 'meminta', 'kode', 'ferifikasi', 'tidak', 'di', 'kirim2', 'dari', 'pagi', 'sampai', 'sore']",-84,negative,"['aplikasi', 'gak', 'udh', 'tinggal', 'lapor', 'aja', 'sulit', 'banget', 'kode', 'ferifikasi', 'gak', 'kirim', 'pagi', 'sore']",aplikasi gak udh tinggal lapor aja sulit banget kode ferifikasi gak kirim pagi sore,Topik 3 - Lapor Pajak/SPT
"Kita yang bayar pajak, kita yang harus ribet laporan!!! Begitu ngumpul di korupsi!! Konyol",playstore,kita yang bayar pajak kita yang harus ribet laporan begitu ngumpul di korupsi konyol,"['kita', 'yang', 'bayar', 'pajak', 'kita', 'yang', 'harus', 'ribet', 'laporan', 'begitu', 'ngumpul', 'di', 'korupsi', 'konyol']",-57,negative,"['bayar', 'pajak', 'ribet', 'laporan', 'ngumpul', 'korupsi', 'konyol']",bayar pajak ribet laporan ngumpul korupsi konyol,Topik 3 - Lapor Pajak/SPT
Gmna rakyat mau taat pajak sedang kan soal pengurus an plaporan sgla macem d persulit. Tolong buat sistem yg lebih mudah.,playstore,gmna rakyat mau taat pajak sedang kan soal pengurus an plaporan sgla macem d persulit tolong buat sistem yg lebih mudah,"['bagaimana', 'rakyat', 'mau', 'taat', 'pajak', 'sedang', 'kan', 'soal', 'pengurus', 'an', 'plaporan', 'segala', 'macam', 'di', 'persulit', 'tolong', 'buat', 'sistem', 'yang', 'lebih', 'mudah']",-46,negative,"['gmna', 'rakyat', 'taat', 'pajak', 'pengurus', 'plaporan', 'sgla', 'macem', 'persulit', 'tolong', 'sistem', 'mudah']",gmna rakyat taat pajak pengurus plaporan sgla macem persulit tolong sistem mudah,Topik 3 - Lapor Pajak/SPT
