content,source,cleaned,t,sentiment_score,sentiment,tokens,joined,topik
YANG NGASIH BINTANG 5 FIX DIBAYAR. APLIKASI AMPAS,playstore,yang ngasih bintang  fix dibayar aplikasi ampas,"['yang', 'mengasih', 'bintang', '5', 'fix', 'dibayar', 'aplikasi', 'ampas']",-14,negative,"['ngasih', 'bintang', 'fix', 'dibayar', 'aplikasi', 'ampas']",ngasih bintang fix dibayar aplikasi ampas,Topik 5 - Pembayaran/Kantor Pajak
"susah banget, lewat app atau lewat web ga ada yang bener. orang mau bayar pajak aja di persulit, sebenernya keluhan masyarakat di dengerin ga sih?????.",playstore,susah banget lewat app atau lewat web ga ada yang bener orang mau bayar pajak aja di persulit sebenernya keluhan masyarakat di dengerin ga sih,"['susah', 'banget', 'lewat', 'app', 'atau', 'lewat', 'web', 'tidak', 'ada', 'yang', 'benar', 'orang', 'mau', 'bayar', 'pajak', 'saja', 'di', 'persulit', 'sebenarnya', 'keluhan', 'masyarakat', 'di', 'mendengarkan', 'tidak', 'sih']",-114,negative,"['susah', 'banget', 'app', 'web', 'bener', 'orang', 'bayar', 'pajak', 'aja', 'persulit', 'sebenernya', 'keluhan', 'masyarakat', 'dengerin', 'sih']",susah banget app web bener orang bayar pajak aja persulit sebenernya keluhan masyarakat dengerin sih,Topik 5 - Pembayaran/Kantor Pajak
"sama sekali tidak membantu ,udh download masa harus ke kantor pajak juga untuk ganti swafhoto ja mau bayar pajak aja susah ,",playstore,sama sekali tidak membantu udh download masa harus ke kantor pajak juga untuk ganti swafhoto ja mau bayar pajak aja susah,"['sama', 'sekali', 'tidak', 'membantu', 'sudah', 'download', 'masa', 'harus', 'ke', 'kantor', 'pajak', 'juga', 'untuk', 'ganti', 'swafhoto', 'saja', 'mau', 'bayar', 'pajak', 'saja', 'susah']",-68,negative,"['membantu', 'udh', 'download', 'kantor', 'pajak', 'ganti', 'swafhoto', 'bayar', 'pajak', 'aja', 'susah']",membantu udh download kantor pajak ganti swafhoto bayar pajak aja susah,Topik 5 - Pembayaran/Kantor Pajak
aplikasi GAK GUNA... sudah 2 hari di coba selalu eror.. buang2 anggaran negara.. mending di hapus aja ni aplikasi bodoh,playstore,aplikasi gak guna sudah  hari di coba selalu eror buang anggaran negara mending di hapus aja ni aplikasi bodoh,"['aplikasi', 'tidak', 'guna', 'sudah', '2', 'hari', 'di', 'coba', 'selalu', 'eror', 'buang2', 'anggaran', 'negara', 'mending', 'di', 'hapus', 'saja', 'nih', 'aplikasi', 'bodoh']",-91,negative,"['aplikasi', 'gak', 'coba', 'eror', 'buang', 'anggaran', 'negara', 'mending', 'hapus', 'aja', 'aplikasi', 'bodoh']",aplikasi gak coba eror buang anggaran negara mending hapus aja aplikasi bodoh,Topik 5 - Pembayaran/Kantor Pajak
kita yg mau bayar pajak kita juga yg repot negara macam apa ini semua serbah sulit..,playstore,kita yg mau bayar pajak kita juga yg repot negara macam apa ini semua serbah sulit,"['kita', 'yang', 'mau', 'bayar', 'pajak', 'kita', 'juga', 'yang', 'repot', 'negara', 'macam', 'apa', 'ini', 'semua', 'serbah', 'sulit']",-43,negative,"['bayar', 'pajak', 'repot', 'negara', 'serbah', 'sulit']",bayar pajak repot negara serbah sulit,Topik 5 - Pembayaran/Kantor Pajak
"Aplikasi rusak, sekelas aplikasi Negara seperti ini... wkwkwkkwk",playstore,aplikasi rusak sekelas aplikasi negara seperti ini wkwkwkkwk,"['aplikasi', 'rusak', 'sekelas', 'aplikasi', 'negara', 'seperti', 'ini', 'wkwkwkkwk']",-32,negative,"['aplikasi', 'rusak', 'sekelas', 'aplikasi', 'negara', 'wkwkwkkwk']",aplikasi rusak sekelas aplikasi negara wkwkwkkwk,Topik 5 - Pembayaran/Kantor Pajak
memang untuk memperaulit Rakyat.. mau web ny aplikasi ny.. tiba2 nanti ada denda.. buat aja yang simpel dan mudah di mengerti rakyat..,playstore,memang untuk memperaulit rakyat mau web ny aplikasi ny tiba nanti ada denda buat aja yang simpel dan mudah di mengerti rakyat,"['memang', 'untuk', 'memperaulit', 'rakyat', 'mau', 'web', 'nya', 'aplikasi', 'nya', 'tiba-tiba', 'nanti', 'ada', 'denda', 'buat', 'saja', 'yang', 'simpel', 'dan', 'mudah', 'di', 'mengerti', 'rakyat']",-30,negative,"['memperaulit', 'rakyat', 'web', 'aplikasi', 'denda', 'aja', 'simpel', 'mudah', 'mengerti', 'rakyat']",memperaulit rakyat web aplikasi denda aja simpel mudah mengerti rakyat,Topik 5 - Pembayaran/Kantor Pajak
"Aplikasi buruk sekali sini mau bayar pajak susahnya minta ampun. Seharusnya pemerintah mempermudah orang yang mau bayar pajak bukan mempersulit. Sungguh pelayanan yang buruk sekali, mau pajak sulit giliran sudah pajak dikorupsi",playstore,aplikasi buruk sekali sini mau bayar pajak susahnya minta ampun seharusnya pemerintah mempermudah orang yang mau bayar pajak bukan mempersulit sungguh pelayanan yang buruk sekali mau pajak sulit giliran sudah pajak dikorupsi,"['aplikasi', 'buruk', 'sekali', 'sini', 'mau', 'bayar', 'pajak', 'susahnya', 'meminta', 'ampun', 'seharusnya', 'pemerintah', 'mempermudah', 'orang', 'yang', 'mau', 'bayar', 'pajak', 'bukan', 'mempersulit', 'sungguh', 'pelayanan', 'yang', 'buruk', 'sekali', 'mau', 'pajak', 'sulit', 'giliran', 'sudah', 'pajak', 'dikorupsi']",-127,negative,"['aplikasi', 'buruk', 'bayar', 'pajak', 'susahnya', 'ampun', 'pemerintah', 'mempermudah', 'orang', 'bayar', 'pajak', 'mempersulit', 'sungguh', 'pelayanan', 'buruk', 'pajak', 'sulit', 'giliran', 'pajak', 'dikorupsi']",aplikasi buruk bayar pajak susahnya ampun pemerintah mempermudah orang bayar pajak mempersulit sungguh pelayanan buruk pajak sulit giliran pajak dikorupsi,Topik 5 - Pembayaran/Kantor Pajak
Sangat2 tidak memudahkan rakyat hanya mempersulit saja keterngan sistem kami eror. Apa indonesia sistemnya selalu eror???,playstore,sangat tidak memudahkan rakyat hanya mempersulit saja keterngan sistem kami eror apa indonesia sistemnya selalu eror,"['sangat-sangat', 'tidak', 'memudahkan', 'rakyat', 'hanya', 'mempersulit', 'saja', 'keterngan', 'sistem', 'kami', 'eror', 'apa', 'indonesia', 'sistemnya', 'selalu', 'eror']",-50,negative,"['memudahkan', 'rakyat', 'mempersulit', 'keterngan', 'sistem', 'eror', 'indonesia', 'sistemnya', 'eror']",memudahkan rakyat mempersulit keterngan sistem eror indonesia sistemnya eror,Topik 5 - Pembayaran/Kantor Pajak
alangkah sia2nya uang negara untuk yg mengurus perpajakan ini,playstore,alangkah sianya uang negara untuk yg mengurus perpajakan ini,"['alangkah', 'sia2nya', 'uang', 'negara', 'untuk', 'yang', 'mengurus', 'perpajakan', 'ini']",-16,negative,"['alangkah', 'sianya', 'uang', 'negara', 'mengurus', 'perpajakan']",alangkah sianya uang negara mengurus perpajakan,Topik 5 - Pembayaran/Kantor Pajak
percuma bayar pajak klo dikorupsi,playstore,percuma bayar pajak klo dikorupsi,"['percuma', 'bayar', 'pajak', 'kalau', 'dikorupsi']",-26,negative,"['bayar', 'pajak', 'klo', 'dikorupsi']",bayar pajak klo dikorupsi,Topik 5 - Pembayaran/Kantor Pajak
"kita yang bayar pajak , kita jg yang pusing isi2 data dengan istilah singkatan2 tidak jelas",playstore,kita yang bayar pajak  kita jg yang pusing isi data dengan istilah singkatan tidak jelas,"['kita', 'yang', 'bayar', 'pajak', 'kita', 'juga', 'yang', 'pusing', 'isi2', 'data', 'dengan', 'istilah', 'singkatan2', 'tidak', 'jelas']",-41,negative,"['bayar', 'pajak', 'pusing', 'isi', 'data', 'istilah', 'singkatan']",bayar pajak pusing isi data istilah singkatan,Topik 5 - Pembayaran/Kantor Pajak
"Chat ke admin lama PAKE BANGET Masalah bayar pajak tepat waktu diburu buru kalau ngga denda 100.000, tapi masalah pelayanan masyarakat DI KORUPSI",playstore,chat ke admin lama pake banget masalah bayar pajak tepat waktu diburu buru kalau ngga denda  tapi masalah pelayanan masyarakat di korupsi,"['chat', 'ke', 'admin', 'lama', 'pakai', 'banget', 'masalah', 'bayar', 'pajak', 'tepat', 'waktu', 'diburu', 'buru', 'kalau', 'tidak', 'denda', '100000', 'tapi', 'masalah', 'pelayanan', 'masyarakat', 'di', 'korupsi']",-59,negative,"['chat', 'admin', 'pake', 'banget', 'bayar', 'pajak', 'diburu', 'buru', 'ngga', 'denda', 'pelayanan', 'masyarakat', 'korupsi']",chat admin pake banget bayar pajak diburu buru ngga denda pelayanan masyarakat korupsi,Topik 5 - Pembayaran/Kantor Pajak
"Aplikasi ini tidak membantu sama sekali, anda akan diarahkan ke kantor pajak",playstore,aplikasi ini tidak membantu sama sekali anda akan diarahkan ke kantor pajak,"['aplikasi', 'ini', 'tidak', 'membantu', 'sama', 'sekali', 'anda', 'akan', 'diarahkan', 'ke', 'kantor', 'pajak']",-54,negative,"['aplikasi', 'membantu', 'diarahkan', 'kantor', 'pajak']",aplikasi membantu diarahkan kantor pajak,Topik 5 - Pembayaran/Kantor Pajak
"udh isi pulsa, sebelum tiap mau ngomong sma CS disuruh tekan angka 0 tiba"" bot ngucapin makasih dan dimatiin, gila segitunya kah ngambil duit RAKYAT, giliran TELAT di denda, konyol,.",playstore,udh isi pulsa sebelum tiap mau ngomong sma cs disuruh tekan angka  tiba bot ngucapin makasih dan dimatiin gila segitunya kah ngambil duit rakyat giliran telat di denda konyol,"['sudah', 'isi', 'pulsa', 'sebelum', 'tiap', 'mau', 'mengomong', 'sama', 'cs', 'disuruh', 'tekan', 'angka', '0', 'tiba', 'bot', 'mengucapkan', 'terima kasih', 'dan', 'dimatiin', 'gila', 'sebegitunya', 'kah', 'ngambil', 'duit', 'rakyat', 'giliran', 'telat', 'di', 'denda', 'konyol']",-42,negative,"['udh', 'isi', 'pulsa', 'ngomong', 'sma', 'disuruh', 'tekan', 'angka', 'bot', 'ngucapin', 'makasih', 'dimatiin', 'gila', 'segitunya', 'kah', 'ngambil', 'duit', 'rakyat', 'giliran', 'telat', 'denda', 'konyol']",udh isi pulsa ngomong sma disuruh tekan angka bot ngucapin makasih dimatiin gila segitunya kah ngambil duit rakyat giliran telat denda konyol,Topik 5 - Pembayaran/Kantor Pajak
Kita yang bayar kok kita yang ribet 😞,playstore,kita yang bayar kok kita yang ribet,"['kita', 'yang', 'bayar', 'kok', 'kita', 'yang', 'ribet']",-31,negative,"['bayar', 'ribet']",bayar ribet,Topik 5 - Pembayaran/Kantor Pajak
"Mau bikin surat setoran pajak gak bisa di klik, terus gimana caranya dapat E Billing",playstore,mau bikin surat setoran pajak gak bisa di klik terus gimana caranya dapat e billing,"['mau', 'bikin', 'surat', 'setoran', 'pajak', 'tidak', 'bisa', 'di', 'klik', 'terus', 'bagaimana', 'caranya', 'dapat', 'e', 'billing']",-57,negative,"['bikin', 'surat', 'setoran', 'pajak', 'gak', 'klik', 'gimana', 'billing']",bikin surat setoran pajak gak klik gimana billing,Topik 5 - Pembayaran/Kantor Pajak
"Terima kasih, terbukti sangat membantu, tidak capek-capek ke kantor pajak🙏",playstore,terima kasih terbukti sangat membantu tidak capekcapek ke kantor pajak,"['terima', 'kasih', 'terbukti', 'sangat', 'membantu', 'tidak', 'capekcapek', 'ke', 'kantor', 'pajak']",-23,negative,"['terima', 'kasih', 'terbukti', 'membantu', 'capekcapek', 'kantor', 'pajak']",terima kasih terbukti membantu capekcapek kantor pajak,Topik 5 - Pembayaran/Kantor Pajak
"Ini pemerintah serius nggak sih bikin aplikasi, kita mau taat bayar pajak aja dipersulit.",playstore,ini pemerintah serius nggak sih bikin aplikasi kita mau taat bayar pajak aja dipersulit,"['ini', 'pemerintah', 'serius', 'tidak', 'sih', 'bikin', 'aplikasi', 'kita', 'mau', 'taat', 'bayar', 'pajak', 'saja', 'dipersulit']",-67,negative,"['pemerintah', 'serius', 'nggak', 'sih', 'bikin', 'aplikasi', 'taat', 'bayar', 'pajak', 'aja', 'dipersulit']",pemerintah serius nggak sih bikin aplikasi taat bayar pajak aja dipersulit,Topik 5 - Pembayaran/Kantor Pajak
"Sdah ada komentar yg negatif,nggak berbenah juga aplikasi, banyak yg bayar pajak aplikasi juga unfaedah!!! Ada yg sulit kenapa dipermudah,aplikasi dibuat dengan anggaran negara juga nggak bisa mempermudah",playstore,sdah ada komentar yg negatifnggak berbenah juga aplikasi banyak yg bayar pajak aplikasi juga unfaedah ada yg sulit kenapa dipermudahaplikasi dibuat dengan anggaran negara juga nggak bisa mempermudah,"['sudah', 'ada', 'komentar', 'yang', 'negatifnggak', 'berbenah', 'juga', 'aplikasi', 'banyak', 'yang', 'bayar', 'pajak', 'aplikasi', 'juga', 'unfaedah', 'ada', 'yang', 'sulit', 'kenapa', 'dipermudahaplikasi', 'dibuat', 'dengan', 'anggaran', 'negara', 'juga', 'tidak', 'bisa', 'mempermudah']",-90,negative,"['sdah', 'komentar', 'negatifnggak', 'berbenah', 'aplikasi', 'bayar', 'pajak', 'aplikasi', 'unfaedah', 'sulit', 'dipermudahaplikasi', 'anggaran', 'negara', 'nggak', 'mempermudah']",sdah komentar negatifnggak berbenah aplikasi bayar pajak aplikasi unfaedah sulit dipermudahaplikasi anggaran negara nggak mempermudah,Topik 5 - Pembayaran/Kantor Pajak
"kenapa kalau aplikasi milik negara ada aja masalahnya, apa karna buat aplikasi ini anggarannya di korup juga ?",playstore,kenapa kalau aplikasi milik negara ada aja masalahnya apa karna buat aplikasi ini anggarannya di korup juga,"['kenapa', 'kalau', 'aplikasi', 'milik', 'negara', 'ada', 'saja', 'masalahnya', 'apa', 'karena', 'buat', 'aplikasi', 'ini', 'anggarannya', 'di', 'korup', 'juga']",-52,negative,"['aplikasi', 'milik', 'negara', 'aja', 'karna', 'aplikasi', 'anggarannya', 'korup']",aplikasi milik negara aja karna aplikasi anggarannya korup,Topik 5 - Pembayaran/Kantor Pajak
"Susah amat bayar pajak ajgggg, mau bayar padahal kan kentoddd",playstore,susah amat bayar pajak ajgggg mau bayar padahal kan kentoddd,"['susah', 'amat', 'bayar', 'pajak', 'ajgggg', 'mau', 'bayar', 'padahal', 'kan', 'kentoddd']",-30,negative,"['susah', 'bayar', 'pajak', 'ajgggg', 'bayar', 'kentoddd']",susah bayar pajak ajgggg bayar kentoddd,Topik 5 - Pembayaran/Kantor Pajak
"Live chat sama mesin apa mesinnya tau yg dibutuhkan?? Seperti bicara sama dinding. Mau disambungkan ke petugasnya tapi tetap mesin yang jawab, sebenarnya paham gak sih live chat itu apa?? Jangan salahkan masyarakat menilai oknum kantor pajak itu jelek kalau pelayanannya seperti ini. Buruk sekali",playstore,live chat sama mesin apa mesinnya tau yg dibutuhkan seperti bicara sama dinding mau disambungkan ke petugasnya tapi tetap mesin yang jawab sebenarnya paham gak sih live chat itu apa jangan salahkan masyarakat menilai oknum kantor pajak itu jelek kalau pelayanannya seperti ini buruk sekali,"['live', 'chat', 'sama', 'mesin', 'apa', 'mesinnya', 'tau', 'yang', 'dibutuhkan', 'seperti', 'bicara', 'sama', 'dinding', 'mau', 'disambungkan', 'ke', 'petugasnya', 'tapi', 'tetap', 'mesin', 'yang', 'jawab', 'sebenarnya', 'paham', 'tidak', 'sih', 'live', 'chat', 'itu', 'apa', 'jangan', 'salahkan', 'masyarakat', 'menilai', 'oknum', 'kantor', 'pajak', 'itu', 'jelek', 'kalau', 'pelayanannya', 'seperti', 'ini', 'buruk', 'sekali']",-90,negative,"['live', 'chat', 'mesin', 'mesinnya', 'tau', 'dibutuhkan', 'bicara', 'dinding', 'disambungkan', 'petugasnya', 'mesin', 'paham', 'gak', 'sih', 'live', 'chat', 'salahkan', 'masyarakat', 'menilai', 'oknum', 'kantor', 'pajak', 'jelek', 'pelayanannya', 'buruk']",live chat mesin mesinnya tau dibutuhkan bicara dinding disambungkan petugasnya mesin paham gak sih live chat salahkan masyarakat menilai oknum kantor pajak jelek pelayanannya buruk,Topik 5 - Pembayaran/Kantor Pajak
"Coretax yg website ribet banget, padahal mau setor uang ke negara, tapi dibikin ribet 😔",playstore,coretax yg website ribet banget padahal mau setor uang ke negara tapi dibikin ribet,"['coretax', 'yang', 'website', 'ribet', 'banget', 'padahal', 'mau', 'setor', 'uang', 'ke', 'negara', 'tapi', 'dibikin', 'ribet']",-42,negative,"['coretax', 'website', 'ribet', 'banget', 'setor', 'uang', 'negara', 'dibikin', 'ribet']",coretax website ribet banget setor uang negara dibikin ribet,Topik 5 - Pembayaran/Kantor Pajak
Rakyat udah dirampok masih juga ribet mau apa si,playstore,rakyat udah dirampok masih juga ribet mau apa si,"['rakyat', 'sudah', 'dirampok', 'masih', 'juga', 'ribet', 'mau', 'apa', 'sih']",-22,negative,"['rakyat', 'udah', 'dirampok', 'ribet']",rakyat udah dirampok ribet,Topik 5 - Pembayaran/Kantor Pajak
"Gak aplikasi gak website ,semua produk negara kayaknya gak pernah ada yang niat buat mempermudah masyarakat nya ,..",playstore,gak aplikasi gak website semua produk negara kayaknya gak pernah ada yang niat buat mempermudah masyarakat nya,"['tidak', 'aplikasi', 'tidak', 'website', 'semua', 'produk', 'negara', 'kayaknya', 'tidak', 'pernah', 'ada', 'yang', 'niat', 'buat', 'mempermudah', 'masyarakat', 'ya']",-58,negative,"['gak', 'aplikasi', 'gak', 'website', 'produk', 'negara', 'kayaknya', 'gak', 'niat', 'mempermudah', 'masyarakat', 'nya']",gak aplikasi gak website produk negara kayaknya gak niat mempermudah masyarakat nya,Topik 5 - Pembayaran/Kantor Pajak
Orang di suruh bayar pajak rutin tapi pelayanan gajelas,playstore,orang di suruh bayar pajak rutin tapi pelayanan gajelas,"['orang', 'di', 'suruh', 'bayar', 'pajak', 'rutin', 'tapi', 'pelayanan', 'tidak jelas']",-47,negative,"['orang', 'suruh', 'bayar', 'pajak', 'rutin', 'pelayanan', 'gajelas']",orang suruh bayar pajak rutin pelayanan gajelas,Topik 5 - Pembayaran/Kantor Pajak
Apk Nggak Berguna Ngabisin Uang Negara Nggak Ada Fungsi,playstore,apk nggak berguna ngabisin uang negara nggak ada fungsi,"['apk', 'tidak', 'berguna', 'ngabisin', 'uang', 'negara', 'tidak', 'ada', 'fungsi']",-25,negative,"['apk', 'nggak', 'berguna', 'ngabisin', 'uang', 'negara', 'nggak', 'fungsi']",apk nggak berguna ngabisin uang negara nggak fungsi,Topik 5 - Pembayaran/Kantor Pajak
"Aplikasi gk guna, ujung-ujungnya ke kantor pajak juga. Buat yang mau download mending gk usah.",playstore,aplikasi gk guna ujungujungnya ke kantor pajak juga buat yang mau download mending gk usah,"['aplikasi', 'tidak', 'guna', 'ujungujungnya', 'ke', 'kantor', 'pajak', 'juga', 'buat', 'yang', 'mau', 'download', 'mending', 'tidak', 'usah']",-49,negative,"['aplikasi', 'ujungujungnya', 'kantor', 'pajak', 'download', 'mending']",aplikasi ujungujungnya kantor pajak download mending,Topik 5 - Pembayaran/Kantor Pajak
"Buang buang dana negara, chat cs aja ga bisa",playstore,buang buang dana negara chat cs aja ga bisa,"['buang', 'buang', 'dana', 'negara', 'chat', 'cs', 'saja', 'tidak', 'bisa']",-20,negative,"['buang', 'buang', 'dana', 'negara', 'chat', 'aja']",buang buang dana negara chat aja,Topik 5 - Pembayaran/Kantor Pajak
"Udah cape ngeluh sama aplikasi instansi pemerintahan, gaada 1 pun yg bener, mau bayar ke negara pun dipersulit",playstore,udah cape ngeluh sama aplikasi instansi pemerintahan gaada  pun yg bener mau bayar ke negara pun dipersulit,"['sudah', 'capek', 'ngeluh', 'sama', 'aplikasi', 'instansi', 'pemerintahan', 'tidak ada', '1', 'pun', 'yang', 'benar', 'mau', 'bayar', 'ke', 'negara', 'pun', 'dipersulit']",-71,negative,"['udah', 'cape', 'ngeluh', 'aplikasi', 'instansi', 'pemerintahan', 'gaada', 'bener', 'bayar', 'negara', 'dipersulit']",udah cape ngeluh aplikasi instansi pemerintahan gaada bener bayar negara dipersulit,Topik 5 - Pembayaran/Kantor Pajak
